Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Sc_d_proj,S_p_proj
-14.3982,0.0,0.0,0.0,0.0,0.0,0.0
-14.348199999999999,0.0,0.0,0.0,0.0,0.0,0.0
-14.298200000000001,0.0,0.0,0.0,0.0,0.0,0.0
-14.2482,0.0,0.0,0.0,0.0,0.0,0.0
-14.1982,0.0,0.0,0.0,0.0,0.0,0.0
-14.1482,0.0013918384959933142,0.0,0.0,0.0013918384959933142,5.5838151508008696e-06,3.1618823371478884e-07
-14.098199999999999,0.047536731594164376,0.0,0.0,0.047536731594164376,0.00019052060832578982,1.0788724593695418e-05
-14.048200000000001,0.6109376489796561,0.0,0.0,0.6109376489796561,0.0024446372034163323,0.00013835933309971291
-13.9982,3.1529455118598446,0.5389880466269796,0.0,2.6139574652328648,0.012569718203148273,0.0007092007042554443
-13.9482,7.444759367507286,2.781872094769246,0.0,4.66288727273804,0.02948363538130886,0.0016369439615808307
-13.8982,10.308851765563986,6.616971659537789,0.0,3.691880106026197,0.04057978538889037,0.002146483333655956
-13.848199999999999,11.21283043859351,9.453233411284526,0.0,1.7595970273089847,0.044259417830120704,0.002228784496153632
-13.798200000000001,11.403343796773752,10.834572067339113,0.0,0.5687717294346388,0.04601858873510167,0.0023166978131988233
-13.7482,11.619790827995738,11.385741725849666,0.0,0.23404910214607177,0.04969716234704463,0.0023823949478879213
-13.6982,12.149933829490198,11.775052970224094,0.0,0.3748808592661046,0.05694099744860584,0.0024147782573436397
-13.6482,12.77580395024491,12.47015299964985,0.0,0.3056509505950604,0.0669940963486709,0.0025257390481750936
-13.598199999999999,12.934384390337872,12.907363673124873,0.0,0.02702071721299859,0.07787913562440196,0.0026402691888129408
-13.548200000000001,13.036228291079194,12.628446435447996,0.0,0.40778185563119784,0.09367010770017423,0.0028407123312029947
-13.4982,13.958712542748657,12.527673057338365,0.0,1.4310394854102917,0.13958348374879836,0.0033134362510318285
-13.4482,16.783033530951975,13.657637642336777,0.0,3.1253958886151985,0.28856781764480266,0.004301537683772365
-13.3982,20.034062947072467,16.91394525906428,0.0,3.120117688008186,0.558397332562584,0.005537531417114166
-13.348199999999999,22.65004757981444,21.2663444399474,0.0,1.3837031398670412,0.8513302955788398,0.006970486712050788
-13.298200000000001,28.096001364976026,25.029404880673894,0.0,3.0665964843021314,1.1319856036853295,0.009754406441735173
-13.2482,32.31371533751113,28.936661285859667,0.0,3.3770540516514593,1.3251411054689388,0.012592122448637517
-13.1982,33.13700856605268,31.775434684445376,0.0,1.3615738816073026,1.5070462954151753,0.015059192680954844
-13.1482,39.20178668973763,34.60931742712263,0.0,4.592469262614998,2.5640183886960566,0.02094349793129358
-13.098199999999999,58.745868015759285,42.96383923679398,0.0,15.782028778965305,6.309813857898093,0.035413465640893586
-13.048200000000001,88.34433391938828,63.98918093074279,0.0,24.355152988645486,12.123072922277597,0.06579213722223654
-12.9982,113.51638446301065,94.51724427167976,0.0,18.999140191330895,16.12894233225543,0.13632027331330782
-12.9482,131.61317665896698,119.43753857055937,0.0,12.17563808840761,17.62240834478628,0.3347901738765573
-12.8982,142.13027615644634,133.29260583400978,0.0,8.837670322436566,17.711308326569203,0.7811828900230624
-12.848199999999999,146.8292367864321,139.3751886390802,0.0,7.454048147351898,18.004333983511987,1.4477846045195253
-12.798200000000001,153.32350601392588,140.2455826348956,0.0,13.077923379030267,18.751675243434928,2.0495445597606423
-12.7482,155.04071103800484,139.53455970019476,0.0,15.506151337810081,18.17556279463698,2.1684854111738936
-12.6982,145.42317554253523,128.48383216640894,0.0,16.93934337612629,15.696389644958092,1.695835228015199
-12.6482,131.58991936470935,111.3577393208254,0.0,20.232180043883943,13.055789999639806,1.0683859602821104
-12.598199999999999,113.62407130804118,108.51064224042051,0.0,5.113429067620672,10.732062489922242,0.6568084520874815
-12.548200000000001,99.02574262239423,113.50007351902048,0.0,-14.474330896626242,9.516764682542163,0.465240626719782
-12.4982,93.62925162273739,107.0102664761468,0.0,-13.381014853409411,10.589909317519018,0.5223645343167692
-12.4482,96.9611925136165,96.14404558680992,0.0,0.8171469268065721,12.976328451835103,0.8732919425432224
-12.3982,107.40758514029328,98.08276548933024,0.0,9.324819650963036,14.503480614266968,1.5782831161127093
-12.348199999999999,129.87249105634265,112.871382264209,0.0,17.00110879213365,16.147932331274518,2.468061896075213
-12.298200000000001,152.2244403994909,123.71582848746063,0.0,28.508611912030275,17.576055024844084,2.6482467407477377
-12.2482,152.50164273176702,122.74707254855414,0.0,29.754570183212877,16.589764781112788,1.8652182222409346
-12.1982,122.45659898450086,118.90835168047687,0.0,3.548247304023988,12.276615357966666,0.8559503201918504
-12.1482,91.46504086879747,122.78795074966686,0.0,-31.32290988086939,7.8192313153841795,0.2814963566601429
-12.098199999999999,75.58455272024645,131.25638869701484,0.0,-55.67183597676839,5.148628321177293,0.09978498769048878
-12.048200000000001,68.14026374070585,126.15409518789802,0.0,-58.013831447192175,3.5736337585235516,0.052675047502450584
-11.9982,61.35377000439995,101.30846129141526,0.0,-39.95469128701531,2.424989339490995,0.03511156827133697
-11.9482,43.1410421450974,72.35309810955417,0.0,-29.212055964456766,1.32538395089985,0.020687726971503975
-11.8982,17.592598902746566,50.19307444897554,0.0,-32.60047554622897,0.45246315395115444,0.007643358776343724
-11.848199999999999,3.3266123368625884,30.422842371097257,0.0,-27.09623003423467,0.07769615599616823,0.001378552746244407
-11.798200000000001,0.25596701267123095,12.435944122305557,0.0,-12.179977109634326,0.005726691545918069,0.00010397979169626418
-11.7482,0.0074409827285796416,2.8129587227534545,0.0,-2.8055177400248748,0.0001621023440646059,2.986831880151806e-06
-11.6982,0.0,0.32663659588350913,0.0,-0.32663659588350913,0.0,0.0
-11.6482,0.0,0.01853768048507448,0.0,-0.01853768048507448,0.0,0.0
-11.598199999999999,0.0,0.00042424308002850545,0.0,-0.00042424308002850545,0.0,0.0
-11.548200000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.4982,0.0,0.0,0.0,0.0,0.0,0.0
-11.4482,0.0,0.0,0.0,0.0,0.0,0.0
-11.3982,0.0,0.0,0.0,0.0,0.0,0.0
-11.348199999999999,0.0,0.0,0.0,0.0,0.0,0.0
-11.298200000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.2482,0.0,0.0,0.0,0.0,0.0,0.0
-11.1982,0.0,0.0,0.0,0.0,0.0,0.0
-11.1482,0.0,0.0,0.0,0.0,0.0,0.0
-11.098199999999999,0.0,0.0,0.0,0.0,0.0,0.0
-11.048200000000001,0.0,0.0,0.0,0.0,0.0,0.0
-10.9982,0.0,0.0,0.0,0.0,0.0,0.0
-10.9482,0.0,0.0,0.0,0.0,0.0,0.0
-10.8982,0.0,0.0,0.0,0.0,0.0,0.0
-10.848199999999999,0.0,0.0,0.0,0.0,0.0,0.0
-10.798200000000001,0.0,0.0,0.0,0.0,0.0,0.0
-10.7482,0.0,0.0,0.0,0.0,0.0,0.0
