Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Nb_d_proj,S_p_proj
-16.7469,9.791057506718296,0.0,0.0,9.791057506718296,0.21475715520272087,0.0010119023566029408
-16.6969,11.486941087225532,0.0,0.0,11.486941087225532,0.49730816929909033,0.001030281309017359
-16.646900000000002,15.137940104577329,0.0,0.0,15.137940104577329,1.278929599016394,0.0010855664332563792
-16.596899999999998,20.530579503310257,0.0,0.0,20.530579503310257,2.6265345102449595,0.0011104297571335959
-16.5469,26.47503790598377,42.97673856711188,0.0,-16.501700661128112,4.26410994404587,0.0010182020321402236
-16.4969,32.15049915284145,46.677333837956525,0.0,-14.526834685115077,5.775330115784699,0.0009319534119928979
-16.4469,37.890825033300445,47.66999931457834,0.0,-9.779174281277896,7.3581835862668,0.0009606856017824627
-16.396900000000002,44.208492887905706,58.475022150112345,0.0,-14.266529262206639,9.081281863070453,0.001004447051333822
-16.346899999999998,49.00337273474379,75.15274791779626,0.0,-26.14937518305247,10.237133755839194,0.001036097836908227
-16.2969,53.65294253737939,80.23571013120888,0.0,-26.582767593829487,11.093316983128194,0.0011093546040731863
-16.2469,61.81684380187019,82.49128404783532,0.0,-20.67444024596513,12.236266948404811,0.001299228855591355
-16.1969,67.66760426740402,80.05081352810988,0.0,-12.383209260705868,13.249550991326513,0.0014982645946352816
-16.146900000000002,70.80805577579149,70.35126924561081,0.0,0.45678653018067905,13.8937266041814,0.0016961683406473745
-16.096899999999998,80.2138646673531,68.61812750612964,0.0,11.595737161223468,14.965307169282717,0.0021089505670025405
-16.0469,83.92425847263632,65.29320065872423,0.0,18.631057813912093,14.99376982229864,0.002440964907752225
-15.9969,79.20363248658295,58.33540652842464,0.0,20.868225958158305,13.904920519018404,0.0026596472715811467
-15.9469,78.82830733585655,57.00464154404288,0.0,21.823665791813667,13.488850565875143,0.0030983962933399806
-15.8969,83.93157081695594,57.90235009432457,0.0,26.029220722631372,14.325318639133103,0.0038797250666012494
-15.8469,82.55990719071802,58.83819601651125,0.0,23.721711174206774,14.035729169069455,0.0054740355598433005
-15.7969,76.73283074204853,58.26047891407329,0.0,18.472351827975245,12.532623396952314,0.007687228444611531
-15.7469,72.65849293635947,54.39981261763376,0.0,18.258680318725702,11.681132728623185,0.009049820526522893
-15.6969,68.85625406265348,60.328884895699595,0.0,8.527369166953882,11.377935329399701,0.009879608694349267
-15.6469,64.33530372323844,73.84558897507267,0.0,-9.510285251834233,10.440099965813172,0.011759079732309309
-15.5969,63.0231110566162,74.58331160560068,0.0,-11.560200548984483,9.641669967989282,0.018395387615580065
-15.5469,65.06428945842455,64.87556172823338,0.0,0.18872773019117517,9.809524160410742,0.036519004752343265
-15.4969,67.77820684960264,58.59877737064813,0.0,9.17942947895451,10.562878371498384,0.06975176941013889
-15.4469,73.43766124044635,54.64433095629869,0.0,18.793330284147657,12.121793221949499,0.13050625950816563
-15.3969,79.15543237780662,51.510562784113226,0.0,27.644869593693393,13.55345266377978,0.2727636035095511
-15.3469,79.00574197692274,52.78207614681716,0.0,26.223665830105574,13.591050294718066,0.5922574839952068
-15.2969,77.06797234049411,63.026491571558566,0.0,14.041480768935543,12.6655850138254,1.1388024755169324
-15.2469,76.71675091674382,75.32760489592971,0.0,1.3891460208141098,11.600415648465425,1.431531899847716
-15.1969,74.50191580402,77.75617234846992,0.0,-3.254256544449916,11.009921136828513,0.9997323047598067
-15.1469,72.25261445600603,77.86612807499385,0.0,-5.613513618987824,11.14741410441232,0.5259734196326897
-15.0969,70.87188362153778,81.89238623079498,0.0,-11.020502609257207,11.31985580445312,0.30071741412724573
-15.0469,72.75441477995902,85.47007620508829,0.0,-12.71566142512927,11.39499030386066,0.188012776038806
-14.9969,76.19619652034137,91.3093583969339,0.0,-15.113161876592528,11.300267414124466,0.13839777946199733
-14.9469,74.42659151559587,86.05387453392952,0.0,-11.627283018333642,10.334898066307051,0.1016638661802067
-14.8969,64.53145258478395,65.95848607042733,0.0,-1.4270334856433777,8.349546492197724,0.07127717312247546
-14.8469,53.30979922920143,51.363665435699254,0.0,1.9461337935021774,6.40524141264424,0.05004624713390529
-14.7969,45.59441705584723,51.48644062902837,0.0,-5.892023573181142,5.046642730826111,0.037225840092194304
-14.7469,39.26687083114416,54.62340330683392,0.0,-15.356532475689761,3.9484592819903472,0.030126955560164835
-14.6969,35.382197902512225,48.62699574187891,0.0,-13.244797839366683,3.1918401592862518,0.023768265666918087
-14.6469,33.60213909293826,39.39529571113991,0.0,-5.79315661820165,2.7360658489345226,0.017917830573281904
-14.5969,30.89230672916767,33.57520306806474,0.0,-2.6828963388970664,2.2250825920304176,0.013511313744617197
-14.5469,25.859000661048412,27.40310496631485,0.0,-1.544104305266437,1.6875778810570912,0.010352675669449422
-14.4969,22.258159564082938,22.738400605185134,0.0,-0.4802410411021967,1.3996238612923109,0.00958219891009351
-14.4469,18.950970257981382,19.12028304169136,0.0,-0.1693127837099766,1.1029349493549374,0.008603394553269483
-14.3969,13.693733688523231,15.873622898560377,0.0,-2.179889210037146,0.6951029262981496,0.0060764089815574076
