Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Nb_d_proj,S_p_proj
-16.5303,32.17013577379022,44.21706003111233,0.0,-12.046924257322111,5.384045575474681,0.4010000066091196
-16.4803,37.8824362327116,47.01774690457599,0.0,-9.135310671864396,6.196272325042042,0.7947874255988775
-16.430300000000003,44.57450128565331,51.21763609409918,0.0,-6.643134808445865,7.262946949874278,1.0343183654286636
-16.3803,49.039872833192575,63.9885864525285,0.0,-14.948713619335926,8.840396001223418,0.6762972360425414
-16.3303,51.92782468031311,76.88718519180411,0.0,-24.959360511491,10.54809408996979,0.2399412606693386
-16.2803,54.14878293959573,80.99567818599435,0.0,-26.846895246398617,11.39149359889217,0.07392010887962291
-16.2303,57.70507442709659,81.69991608580362,0.0,-23.99484165870703,11.77536865424732,0.04434390381111165
-16.180300000000003,57.35576872397514,76.85972092102689,0.0,-19.503952197051753,11.245463527727495,0.046911660398479826
-16.1303,61.268674892742496,69.74356812174386,0.0,-8.474893229001367,11.41161873033422,0.07379100286139459
-16.0803,74.04216837334772,67.5208651359609,0.0,6.521303237386817,12.928591273030573,0.15843721604787503
-16.0303,82.77116020450391,62.99782151049388,0.0,19.773338694010036,13.875876661255873,0.42081555885198463
-15.9803,97.14350312121945,57.87081510508378,0.0,39.272688016135675,15.709903884260191,0.9686288155398108
-15.9303,110.43011753874039,57.293832636623954,0.0,53.13628490211644,17.608483830482847,1.2932160382706404
-15.8803,100.25153440200646,58.21295057257312,0.0,42.038583829433335,16.4966116946923,0.8678872652872395
-15.830300000000001,86.27173577946309,58.652497522817974,0.0,27.61923825664511,14.795864019173468,0.33482906977333554
-15.7803,78.38803437105659,56.99193834637546,0.0,21.39609602468113,13.369503122490919,0.13797091874615436
-15.7303,72.96762574611714,56.328710815095654,0.0,16.638914931021482,12.096932146286031,0.12433773604040235
-15.6803,72.33915801789195,64.78607460833445,0.0,7.553083409557502,12.012390595093244,0.14035293034703522
-15.6303,77.40325577797526,74.14222344564888,0.0,3.26103233232638,13.000856784822302,0.1296105191174341
