Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Ti_d_proj,S_p_proj
-15.9047,29.260685576676636,0.0,0.0,29.260685576676636,0.9690584189589491,0.0016481632715080207
-15.8547,30.0757654320119,0.0,0.0,30.0757654320119,1.0514085778766904,0.0017985371836325352
-15.8047,32.16718881683372,38.12201595531917,0.0,-5.954827138485449,1.37272256319099,0.0020055399975942192
-15.7547,40.184544624966705,50.95847319798555,0.0,-10.773928573018843,2.5460457582337668,0.002441995175663972
-15.7047,55.845334770658624,67.15965385361424,0.0,-11.31431908295562,4.603163383971837,0.003656831787093329
-15.6547,74.13485443956748,83.55940335289009,0.0,-9.42454891332261,7.0008832266095,0.006401620167199764
-15.6047,92.05574148305112,91.74151069453723,0.0,0.3142307885138962,9.242099444922296,0.010031973326557267
-15.5547,93.65145744313975,90.51648875252289,0.0,3.1349686906168586,9.332043580914846,0.012731531185676277
-15.5047,91.10334713174444,86.86701044486094,0.0,4.236336686883504,8.766037737666792,0.019929374061427862
-15.4547,99.79822795535827,87.23645031676314,0.0,12.561777638595132,9.06612355141544,0.04313803526459138
-15.4047,103.37473076367289,94.65108546404672,0.0,8.72364529962617,8.937891584450318,0.12538776006743
-15.3547,103.5545006688987,105.90011478483314,0.0,-2.3456141159344384,8.891716893992124,0.46190235462180007
-15.3047,112.35703345046953,116.51863300065928,0.0,-4.161599550189749,9.172399658695781,1.2059899322381709
-15.2547,107.8653216935464,119.2516587469674,0.0,-11.386337053420988,7.949285205249735,1.6193874696984003
-15.2047,87.86789478684074,104.26875112126558,0.0,-16.400856334424844,6.013848223284326,1.0354583002511466
-15.1547,71.37932488779798,83.45866008307382,0.0,-12.079335195275846,4.69963861885151,0.3972778568263561
-15.1047,66.3020733846969,71.05457382660548,0.0,-4.75250044190858,4.289908466721281,0.17678332644456796
-15.0547,65.9138529536745,63.64761721011847,0.0,2.266235743556038,4.160426612712175,0.11844495728282324
-15.0047,60.8102476480378,53.33810158698291,0.0,7.472146061054893,3.748150798306022,0.09087986428638808
-14.9547,48.58063748887139,45.83723236287813,0.0,2.743405125993256,3.282967750357041,0.07151777589432992
-14.9047,46.735503913927445,48.56903428543836,0.0,-1.8335303715109177,3.9650100647891353,0.06493998716762983
-14.8547,61.172814876771795,57.25390861045309,0.0,3.9189062663187073,5.8368846027977845,0.0720403431155317
-14.8047,81.145902506212,69.653531288048,0.0,11.492371218163996,7.6275958283076655,0.07700734672858173
-14.7547,114.90387563563277,83.34019619707458,0.0,31.563679438558196,10.339769805450775,0.0846263416798132
-14.7047,143.50262936182793,92.0858531306885,0.0,51.41677623113942,12.47189697106397,0.09611451856464127
-14.6547,131.57093925707363,94.46115365972108,0.0,37.109785597352555,11.100700892559859,0.09313973025388686
-14.6047,117.55601426432986,93.38073360846931,0.0,24.175280655860547,9.885869306314355,0.09174379105445976
-14.5547,109.65193716585453,93.0550233940487,0.0,16.59691377180583,9.21072128723901,0.09136083017132511
-14.5047,95.06602846894026,101.01044558519473,0.0,-5.944417116254471,7.424467081398678,0.07960070637786754
-14.4547,85.58815590581929,107.6506482119589,0.0,-22.062492306139603,5.7337735576022695,0.06844499165435856
-14.4047,83.22361762130501,93.7404905526682,0.0,-10.516872931363196,4.679242873347725,0.05936531266730441
-14.3547,75.68435883125856,70.90969721037433,0.0,4.774661620884231,3.5682139476979007,0.04758263925808686
-14.3047,56.49078359734957,59.21653640981322,0.0,-2.7257528124636536,2.3272345303483846,0.03337420235492997
-14.2547,36.95311667526944,57.4167718162407,0.0,-20.463655140971255,1.382616536086577,0.023946692934618055
-14.2047,28.67419973624311,52.1095385623128,0.0,-23.43533882606969,0.9020978954668751,0.02316837073688375
-14.1547,20.610743677169765,38.654642362778716,0.0,-18.04389868560895,0.5347269626387993,0.019086865096333963
-14.1047,8.540711676757493,23.4585561761036,0.0,-14.917844499346106,0.1939189543825078,0.008450821288365485
-14.0547,1.6178633669004285,10.987294958048416,0.0,-9.369431591147988,0.0341855203557095,0.0016509289367562538
-14.0047,0.12442463397712897,3.3302549125178045,0.0,-3.2058302785406756,0.002545864918714989,0.00012861627079761438
-13.9547,0.003613426864598027,0.5339414680701774,0.0,-0.5303280412055794,7.246085189953191e-05,3.7646554704126856e-06
-13.9047,0.0,0.038105370507880904,0.0,-0.038105370507880904,0.0,0.0
-13.8547,0.0,0.0010571013377068165,0.0,-0.0010571013377068165,0.0,0.0
-13.8047,0.0,0.0,0.0,0.0,0.0,0.0
-13.7547,0.0,0.0,0.0,0.0,0.0,0.0
-13.7047,0.0,0.0,0.0,0.0,0.0,0.0
-13.6547,0.0,0.0,0.0,0.0,0.0,0.0
-13.6047,0.0,0.0,0.0,0.0,0.0,0.0
-13.5547,0.0,0.0,0.0,0.0,0.0,0.0
-13.5047,0.0,0.0,0.0,0.0,0.0,0.0
-13.4547,0.0,0.0,0.0,0.0,0.0,0.0
-13.4047,0.0,0.0,0.0,0.0,0.0,0.0
-13.3547,0.0,0.0,0.0,0.0,0.0,0.0
-13.3047,0.0,0.0,0.0,0.0,0.0,0.0
-13.2547,0.0,0.0,0.0,0.0,0.0,0.0
-13.2047,0.0,0.0,0.0,0.0,0.0,0.0
-13.1547,0.0,0.0,0.0,0.0,0.0,0.0
-13.1047,0.0,0.0,0.0,0.0,0.0,0.0
-13.0547,0.0,0.0,0.0,0.0,0.0,0.0
-13.0047,0.0,0.0,0.0,0.0,0.0,0.0
-12.9547,0.0,0.0,0.0,0.0,0.0,0.0
-12.9047,0.0,0.0,0.0,0.0,0.0,0.0
-12.8547,0.0,0.0,0.0,0.0,0.0,0.0
-12.8047,0.0,0.0,0.0,0.0,0.0,0.0
-12.7547,0.0,0.0,0.0,0.0,0.0,0.0
-12.7047,0.0,0.0,0.0,0.0,0.0,0.0
-12.6547,0.0,0.0,0.0,0.0,0.0,0.0
-12.6047,0.0,0.0,0.0,0.0,0.0,0.0
-12.5547,0.0,0.0,0.0,0.0,0.0,0.0
-12.5047,0.0,0.0,0.0,0.0,0.0,0.0
-12.4547,0.0,0.0,0.0,0.0,0.0,0.0
-12.4047,0.0,0.0,0.0,0.0,0.0,0.0
-12.3547,0.0,0.0,0.0,0.0,0.0,0.0
-12.3047,0.0,0.0,0.0,0.0,0.0,0.0
-12.2547,0.0,0.0,0.0,0.0,0.0,0.0
-12.2047,0.0,0.0,0.0,0.0,0.0,0.0
-12.1547,0.0,0.0,0.0,0.0,0.0,0.0
-12.1047,0.0,0.0,0.0,0.0,0.0,0.0
-12.0547,0.0,0.0,0.0,0.0,0.0,0.0
-12.0047,0.0,0.0,0.0,0.0,0.0,0.0
-11.9547,0.0,0.0,0.0,0.0,0.0,0.0
-11.9047,0.0,0.0,0.0,0.0,0.0,0.0
-11.854700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.8047,0.0,0.0,0.0,0.0,0.0,0.0
-11.7547,0.0,0.0,0.0,0.0,0.0,0.0
-11.704699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-11.6547,0.0,0.0,0.0,0.0,0.0,0.0
-11.604700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.5547,0.0,0.0,0.0,0.0,0.0,0.0
-11.5047,0.0,0.0,0.0,0.0,0.0,0.0
-11.454699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-11.4047,0.0,0.0,0.0,0.0,0.0,0.0
-11.354700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.3047,0.0,0.0,0.0,0.0,0.0,0.0
-11.2547,0.0,0.0,0.0,0.0,0.0,0.0
-11.204699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-11.1547,0.0,0.0,0.0,0.0,0.0,0.0
-11.104700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.0547,0.0,0.0,0.0,0.0,0.0,0.0
-11.0047,0.0,0.0,0.0,0.0,0.0,0.0
-10.954699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-10.9047,0.0,0.0,0.0,0.0,0.0,0.0
-10.854700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-10.8047,0.0,0.0,0.0,0.0,0.0,0.0
-10.7547,0.0,0.0,0.0,0.0,0.0,0.0
-10.704699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-10.6547,0.0,0.0,0.0,0.0,0.0,0.0
-10.604700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-10.5547,0.0,0.0,0.0,0.0,0.0,0.0
-10.5047,0.0,0.0,0.0,0.0,0.0,0.0
-10.454699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-10.4047,0.0,0.0,0.0,0.0,0.0,0.0
-10.354700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-10.3047,0.0,0.0,0.0,0.0,0.0,0.0
-10.2547,0.0,0.0,0.0,0.0,0.0,0.0
-10.204699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-10.1547,0.0,0.0,0.0,0.0,0.0,0.0
-10.104700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-10.0547,0.0,0.0,0.0,0.0,0.0,0.0
-10.0047,0.0,0.0,0.0,0.0,0.0,0.0
-9.954699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-9.9047,0.0,0.0,0.0,0.0,0.0,0.0
-9.854700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-9.8047,0.0,0.0,0.0,0.0,0.0,0.0
-9.7547,0.0,0.0,0.0,0.0,0.0,0.0
-9.704699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-9.6547,0.0,0.0,0.0,0.0,0.0,0.0
-9.604700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-9.5547,0.0,0.0,0.0,0.0,0.0,0.0
-9.5047,0.0,0.0,0.0,0.0,0.0,0.0
-9.454699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-9.4047,0.0,0.0,0.0,0.0,0.0,0.0
-9.354700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-9.3047,0.0,0.0,0.0,0.0,0.0,0.0
-9.2547,0.0,0.0,0.0,0.0,0.0,0.0
-9.204699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-9.1547,0.0,0.0,0.0,0.0,0.0,0.0
-9.104700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-9.0547,0.0,0.0,0.0,0.0,0.0,0.0
-9.0047,0.0,0.0,0.0,0.0,0.0,0.0
-8.954699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-8.9047,0.0,0.0,0.0,0.0,0.0,0.0
-8.854700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-8.8047,0.0,0.0,0.0,0.0,0.0,0.0
-8.7547,0.0,0.0,0.0,0.0,0.0,0.0
-8.704699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-8.6547,0.0,0.0,0.0,0.0,0.0,0.0
-8.604700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-8.5547,0.0,0.0,0.0,0.0,0.0,0.0
-8.5047,0.0,0.0,0.0,0.0,0.0,0.0
-8.454699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-8.4047,0.0,0.0,0.0,0.0,0.0,0.0
-8.354700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-8.3047,0.0,0.0,0.0,0.0,0.0,0.0
-8.2547,0.0,0.0,0.0,0.0,0.0,0.0
-8.204699999999999,0.0,0.0,0.0,0.0,0.0,0.0
-8.1547,0.0,0.0,0.0,0.0,0.0,0.0
-8.104700000000001,0.0,0.0,0.0,0.0,0.0,0.0
-8.0547,0.0,0.0003540837133806996,0.0,-0.0003540837133806996,0.0,0.0
-8.0047,0.0012700526275938992,0.012813503168282532,0.0,-0.011543450540688633,0.00026614896317133676,1.9552654256213766e-06
-7.9547,0.043450205270090025,0.18025589979192183,0.0,-0.1368056945218318,0.009106079178214337,6.721599668030647e-05
-7.9047,0.5614114338123344,1.1272055506177883,0.0,-0.5657941168054539,0.11766762947489519,0.0008764985763188694
-7.8547,2.9582619738386793,3.660195539045607,0.0,-0.7019335652069278,0.6200403415845075,0.004736075248001274
-7.8047,7.590659676343416,7.4165210025385235,0.0,0.1741386738048929,1.5895477483191613,0.012946300699782
-7.7547,13.055409543043003,11.659719004690405,0.0,1.3956905383525982,2.7249133715028506,0.024782502017918304
-7.7047,18.412863927520014,16.255871968761433,0.0,2.1569919587585815,3.827140909399467,0.03914745045894101
-7.6547,21.46945757426716,20.15365428981035,0.0,1.315803284456809,4.447902385185814,0.052173654305098405
-7.6047,22.97432600019673,22.892226516729952,0.0,0.0820994834667772,4.743110884721916,0.06670669654973581
-7.5547,23.833606334709764,24.06261698535519,0.0,-0.22901065064542792,4.902038561057335,0.08340753227023799
-7.5047,22.986512859169544,23.985708845679305,0.0,-0.9991959865097613,4.707922286552876,0.09934408784174903
-7.4547,22.805710784895275,24.897493151598436,0.0,-2.0917823667031605,4.64655859766649,0.1269243762332792
-7.4047,25.3489933171334,25.59428564213177,0.0,-0.2452923249983705,5.140437995271504,0.18600720121352426
-7.3547,28.408334004717158,25.085056811591777,0.0,3.3232771931253815,5.724758730532734,0.33027746903740396
-7.3047,31.51389468362661,25.124699519738822,0.0,6.389195163887788,6.256891978610628,0.7531844851678959
-7.2547,34.787263983869174,25.323482206953038,0.0,9.463781776916136,6.628548771345896,2.0615260973273286
-7.2047,36.5946232168624,25.800449641566544,0.0,10.794173575295858,6.228971973224392,5.507024679970764
-7.1547,39.98478438825226,26.96119749385337,0.0,13.023586894398889,6.0998095818394935,9.125955607044654
-7.1047,39.44851229628557,28.026107861334406,0.0,11.422404434951165,6.219245410299131,8.033866905420286
-7.0547,36.499313473168314,30.537358993612717,0.0,5.961954479555597,6.430165649107647,4.355811124991481
-7.0047,36.37196193115254,35.20873683972968,0.0,1.1632250914228592,6.940868163897971,1.935091143071967
-6.9547,38.09890575769988,41.362729616283445,0.0,-3.2638238585835637,7.529655518476433,0.921024817199906
-6.9047,42.54809125490188,48.418370233596164,0.0,-5.870278978694287,8.548659444681341,0.5443752792521747
-6.8547,48.23430613738199,54.80683550955752,0.0,-6.572529372175531,9.776194746076104,0.42985798001446157
-6.8047,53.10520407810728,64.16952860437385,0.0,-11.064324526266574,10.814870272747317,0.4361354042777893
-6.7547,59.69310357097378,73.47304966176966,0.0,-13.779946090795882,12.154480348300499,0.5112670911767866
-6.7047,66.12994808846739,75.45456714357302,0.0,-9.324619055105629,13.40466031927804,0.6083098281815453
-6.6547,71.35869076637522,75.15424838583132,0.0,-3.7955576194561047,14.408443495806107,0.7344531127773091
-6.6047,75.31612487611791,77.81633518551811,0.0,-2.5002103094002024,15.171561112493707,0.90587122174073
-6.5547,78.81650212853847,80.90836407226423,0.0,-2.0918619437257604,15.741190281462599,1.1271922957151341
-6.5047,71.97899923551107,83.96851979207138,0.0,-11.989520556560308,14.139725299977684,1.207046243821443
-6.4547,64.94992762273057,89.73661974393245,0.0,-24.78669212120188,12.493660550193784,1.2456247332295574
-6.4047,67.67823230948369,88.8738010346532,0.0,-21.195568725169508,12.681220514666649,1.8297060547077937
-6.3547,75.72833150994714,81.82229413739275,0.0,-6.093962627445606,13.691960190704133,3.3408401788829414
-6.3047,83.93957910896864,79.62775472247337,0.0,4.3118243864952746,14.335362845678816,5.9319177257859925
-6.2547,90.85707946399378,83.16823963093313,0.0,7.688839833060655,14.492911125306689,9.076771044560038
-6.2047,95.48085329651288,83.58459229592354,0.0,11.896261000589334,15.107325580571327,9.817672882819112
-6.1547,91.34872824409359,85.04093476579118,0.0,6.307793478302415,15.569609312705044,6.670325892121593
-6.1047,80.79506992066923,93.05677302028413,0.0,-12.261703099614891,14.981667361833114,3.5172709469681758
-6.0547,77.18065043651211,88.71877790724332,0.0,-11.538127470731212,14.790627172485646,2.3454975344847346
-6.0047,74.73136350706912,73.84119988637786,0.0,0.8901636206912542,13.953257019508692,1.7378334470281942
-5.9547,71.84595299216632,70.25197187717073,0.0,1.5939811149955858,12.81193161942067,1.2392054396708707
-5.9047,70.00120898059716,78.15352557218316,0.0,-8.152316591586,12.19520264267481,0.9074241124006077
-5.8547,74.82410514335461,89.15286435156978,0.0,-14.32875920821516,12.718168117646314,0.6946171510792277
-5.8047,75.9320836859905,93.72244466900536,0.0,-17.79036098301485,12.577680558524508,0.5246505962987931
-5.7547,69.02687264746692,84.73241026616472,0.0,-15.705537618697804,11.746061332044752,0.40948788437552386
-5.7047,61.793390482141625,72.7583992534986,0.0,-10.96500877135697,11.197532021788188,0.34569380665234273
-5.6547,56.207610773708126,68.3484191871566,0.0,-12.140808413448468,11.021826676308018,0.2832911432834604
-5.6047,55.74986413178375,69.91114526463285,0.0,-14.161281132849098,12.471656762169971,0.21564474879141643
-5.5547,61.6790666198188,71.48166448240147,0.0,-9.802597862582672,15.88836156777557,0.1562661464571234
-5.5047,75.26039027829589,78.94683011474137,0.0,-3.686439836445487,21.177323244513165,0.12913549736830862
-5.4547,104.13673202553045,100.22362105747625,0.0,3.9131109680541982,30.452425013609677,0.14644110826678544
-5.4047,142.27270614725282,128.8127215414703,0.0,13.459984605782523,41.4274379859382,0.22726742870997557
-5.3547,173.99962001660072,164.35426128703358,0.0,9.645358729567135,49.23275299366253,0.3761445699942297
-5.3047,200.15235133035426,195.80084913582033,0.0,4.351502194533936,55.33238089854729,0.5230730233790886
-5.2547,214.00135074336308,203.13949335249976,0.0,10.861857390863321,58.74908584073938,0.6212052033624819
-5.2047,203.52573325510735,194.21623616595926,0.0,9.309497089148095,56.50561256543764,0.7216355992539605
-5.1547,190.86648332339672,184.4697058027806,0.0,6.396777520616126,54.19243356856172,0.9509581265878583
-5.1047,197.5107432020194,173.60927975225786,0.0,23.901463449761536,56.65567774210636,1.4407578055941035
-5.0547,200.38857071325532,167.69476532501866,0.0,32.693805388236655,56.97410255635125,2.022148729586143
-5.0047,183.52529043605844,160.4374917689689,0.0,23.087798667089544,51.48669485289611,2.699197180523
-4.9547,165.06072541846675,143.98580197106236,0.0,21.074923447404387,45.75566611566559,4.1345740340039745
-4.9047,156.56193774315767,126.88124357631307,0.0,29.680694166844603,42.98766545579643,5.8883302890166025
-4.8547,146.54195252493196,116.24586612280265,0.0,30.296086402129305,40.1753421561709,5.716701767292417
-4.8047,131.91857448290753,114.51121283476344,0.0,17.40736164814409,36.41497685911577,3.800579853247117
-4.7547,130.30116238419092,122.29644776858775,0.0,8.004714615603163,36.723526211530086,2.7037326602516067
-4.7047,144.6338016281428,129.74729357695182,0.0,14.886508051190987,41.620389484242395,2.827614716958665
-4.6547,155.7965643513371,127.06544153226231,0.0,28.7311228190748,44.747793180195174,3.6011041705351703
-4.6047,156.3089962792455,128.68024090912235,0.0,27.628755370123145,43.700378458646796,4.317841187206359
-4.5547,158.07029707929186,142.824511839394,0.0,15.245785239897856,42.73475786863394,4.287863536428365
-4.5047,168.2226550695978,158.22192033581487,0.0,10.000734733782934,44.18054427172346,4.086849012840258
-4.4547,196.67255480368044,179.63251542830142,0.0,17.040039375379024,51.25696924644255,3.8790314463013074
-4.4047,217.9557261182288,199.50618493679585,0.0,18.44954118143295,57.395769787787486,3.548370901167069
-4.3547,189.46511898249076,192.37511704621178,0.0,-2.9099980637210194,50.43326783330258,3.0882245639665875
-4.3047,150.29108344590958,167.177635880184,0.0,-16.88655243427442,40.42075038947881,2.5587067773077896
-4.2547,134.58729732759832,149.93928807151764,0.0,-15.351990743919316,36.24619049348574,2.3802956663952366
-4.2047,132.52617767696435,134.78521559470087,0.0,-2.2590379177365207,35.63994281630799,2.622225120942062
-4.1547,129.5722161860722,116.5692737360882,0.0,13.002942449984005,34.782528831710195,2.7383059606132463
-4.1047,121.46485863708831,108.70488324049302,0.0,12.759975396595294,32.31157232244581,2.456763053564278
-4.0547,111.82501859472721,109.11682622698319,0.0,2.7081923677440187,29.410137211639622,2.224404898242746
-4.0047,113.19042981251368,106.5477209515942,0.0,6.642708860919484,29.33928963256667,2.0922013809042133
-3.9547,113.17233534397353,96.70394129235738,0.0,16.468394051616144,28.83959028352784,1.8581846610818125
-3.9047,105.82585871712998,92.81951267621812,0.0,13.00634604091185,26.35727816927566,1.6511798207390471
-3.8547000000000002,106.63916429381986,108.07238309491827,0.0,-1.4332188010984055,25.549865152444927,1.7042802257639234
-3.8047,117.62195863357559,134.0162819398333,0.0,-16.394323306257718,27.243180455914455,1.9094252641168508
-3.7547,122.34387599097857,141.71937040263134,0.0,-19.375494411652767,28.123388702521478,1.955992406100426
-3.7047,110.01512044946773,116.31577879270807,0.0,-6.300658343240343,25.885240281028892,1.8278815678679754
-3.6547,91.2593798108106,85.31316433662914,0.0,5.946215474181457,21.969658555477718,1.7370395310253817
-3.6047000000000002,74.95982134027238,70.21438721863628,0.0,4.745434121636109,18.008134423566627,1.745588125885435
-3.5547,63.98504794935778,64.5677178207423,0.0,-0.5826698713845246,15.052960838830675,1.9992149215669441
-3.5047,59.57135364605848,59.27645120292085,0.0,0.29490244313763014,13.713014302065076,2.775710870929333
-3.4547,58.79158593564331,55.93498847641282,0.0,2.8565974592304926,13.186424720731182,3.7093429325308733
-3.4047,54.94796785289718,53.83794139433792,0.0,1.1100264585592612,12.013647292635724,4.170048404039086
-3.3547000000000002,46.89819377758015,46.26325917691673,0.0,0.6349346006634136,10.190402388161415,4.342089994810928
-3.3047,41.58236897898861,38.66566021860322,0.0,2.91670876038539,9.030277101692944,4.127979990252518
-3.2547,38.88541747150306,36.62613852711239,0.0,2.2592789443906725,8.46781521333515,2.9969513126962455
-3.2047,34.73316158150177,34.9090359879799,0.0,-0.17587440647812969,7.6595768777921,1.6821943724844566
-3.1547,28.96667978053212,30.518120086496328,0.0,-1.5514403059642063,6.459393170501415,0.8526055281484749
-3.1047000000000002,24.127317517346693,25.866700330391176,0.0,-1.7393828130444824,5.430239484984748,0.4830717344952022
-3.0547,22.509894228575966,23.013844668828305,0.0,-0.5039504402523391,5.115965209079285,0.3558051633998063
-3.0047,21.536280277955143,21.881405065588137,0.0,-0.3451247876329937,5.018993933841399,0.28341716387893967
-2.9547,19.843984024743726,20.452624960481245,0.0,-0.6086409357375189,4.791754326480461,0.229082552278599
-2.9047,17.991126732360748,18.50908393226259,0.0,-0.5179571999018435,4.5566326395683205,0.21650314262232373
-2.8547000000000002,15.37614547378062,16.828896965429628,0.0,-1.4527514916490087,4.289242029113088,0.30253298987916943
-2.8047,14.865585975321629,15.066125379845571,0.0,-0.20053940452394237,4.409060189147275,0.7498097649674524
-2.7547,16.220667623333313,12.831270165119715,0.0,3.3893974582135975,4.228806724459753,2.0583490895688357
-2.7047,18.022456125939744,10.82247593032135,0.0,7.199980195618394,3.452836225222588,4.786109718979798
-2.6547,18.832121783464338,9.295710136883173,0.0,9.536411646581165,2.838231642222422,6.725815966994074
-2.6047000000000002,14.740269214474946,8.08311218850553,0.0,6.657157025969417,2.2356102727474294,4.750644688708501
-2.5547,10.085975483183354,7.304621532070825,0.0,2.7813539511125294,1.805092913869964,1.8278286717437586
-2.5047,8.258056035226105,7.061636828411992,0.0,1.1964192068141122,1.7188664409558438,0.4426501311811287
-2.4547,7.836905008517968,7.406699307396728,0.0,0.4302057011212401,1.7635154503840629,0.04375978314525638
-2.4047,7.907692854131945,7.867871335626405,0.0,0.03982151850553972,1.8002385467929387,0.17703086681452218
-2.3547000000000002,9.93184460752896,7.889420782276512,0.0,2.042423825252448,2.0107807990225655,2.262703575165589
-2.3047,19.853025294979695,8.430467516264288,0.0,11.422557778715406,3.2543818619425373,10.853028606929499
-2.2547,35.57686182183745,10.095306528795048,0.0,25.481555293042398,6.6673307958896135,22.228603610752767
-2.2047,38.109599808089655,11.501975980208615,0.0,26.607623827881042,10.290939159183576,21.106244348279375
-2.1547,25.086392389578666,11.959323305331893,0.0,13.127069084246774,10.167808721639826,9.86028143481115
-2.1047000000000002,15.062923618818646,12.607630348648513,0.0,2.4552932701701327,8.594951885346255,2.527587522246035
