Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Sc_d_proj,S_p_proj
-14.1065,0.04840508555338572,0.0,0.0,0.04840508555338572,0.00020715409353532744,5.484163004779446e-06
-14.0565,0.6030549441783405,0.0,0.0,0.6030549441783405,0.002574991691175679,6.863296262454185e-05
-14.0065,3.0930362940308465,0.4483940957888364,0.0,2.64464219824201,0.013134205184992278,0.0003558764738836623
-13.9565,7.1806382600593865,2.378250587093902,0.0,4.802387672965485,0.030124851947416896,0.000845906501640967
-13.906500000000001,9.656251905799664,5.954455685110931,0.0,3.701796220688733,0.03974566450926287,0.0011807988403970595
-13.8565,10.502361658073436,9.003713574231877,0.0,1.4986480838415588,0.04269588658198026,0.001325534330823582
-13.8065,11.10571052615909,10.629738474894895,0.0,0.4759720512641952,0.04575156648116337,0.0014098828112203516
-13.7565,11.419467419942073,11.306840832440416,0.0,0.11262658750165677,0.0493012958687507,0.001426735109093272
-13.7065,11.914767092846246,11.712013439973838,0.0,0.2027536528724081,0.05595166156321879,0.0014645001258499898
-13.656500000000001,12.65062835186264,12.3489500531391,0.0,0.30167829872353913,0.06652737756928741,0.0015625132507849136
-13.6065,13.038412507262155,12.840189587407322,0.0,0.19822291985483353,0.07751136405259074,0.0016095749246157328
-13.5565,12.974620799992667,12.68735495769922,0.0,0.2872658422934471,0.08805035266890159,0.0015741340995521543
-13.5065,13.397926823225362,12.539714755717338,0.0,0.858212067508024,0.11164447720424292,0.0016134725297110566
-13.4565,15.133126081633732,13.44788398572829,0.0,1.6852420959054424,0.1929039658295844,0.0019024802677498546
-13.406500000000001,19.509890669635,16.33664337160203,0.0,3.173247298032969,0.4523104219051596,0.002711741929457366
-13.3565,26.009878397491967,20.527713245191254,0.0,5.482165152300713,0.8920188946147541,0.0039718407470532395
-13.3065,29.941424376577643,24.417399421023966,0.0,5.524024955553678,1.2395473751314348,0.004794471862442857
-13.2565,31.260062071506034,28.283990155530958,0.0,2.9760719159750764,1.4017074171728745,0.0048943740393494976
-13.2065,32.951224423462975,31.324357716520534,0.0,1.6268667069424403,1.5306029421391363,0.00478064333491913
-13.156500000000001,36.615309289270755,34.13674316213149,0.0,2.478566127139267,1.8947202720948684,0.004782414957766237
-13.1065,44.94765654936141,41.475402354675516,0.0,3.4722541946858954,3.3366816216861617,0.0049519135781054945
-13.0565,68.89136247205595,60.276555338539296,0.0,8.61480713351665,7.8005116823235605,0.006636018343288835
-13.0065,106.57551492883661,89.29902654348511,0.0,17.2764883853515,14.631717759591327,0.012401973053075374
-12.9565,123.9055176001918,115.42093070300984,0.0,8.484586897181956,18.175210952236387,0.020286847804928176
-12.906500000000001,112.40695149126304,131.1834054129228,0.0,-18.776453921659765,16.549799152629628,0.024282040814919498
-12.8565,96.13455341235817,138.48764563515437,0.0,-42.35309222279619,13.557219216693898,0.021805568187200634
-12.8065,98.89445374870056,140.1836591872147,0.0,-41.28920543851413,13.0187967664958,0.01719718848531917
-12.7565,119.96987555486342,139.6725843134486,0.0,-19.702708758585175,14.948443636408754,0.01725276568596186
-12.7065,123.74229357184439,130.50674139894573,0.0,-6.76444782710135,14.549954749701232,0.020639605014728116
-12.656500000000001,111.40356187906016,114.29178430872959,0.0,-2.888222429669426,12.058469039370012,0.023308813976260785
-12.6065,109.30896442821509,108.70976848103935,0.0,0.599195947175744,10.780418321784232,0.026036207172533875
-12.5565,111.53974204918535,112.55767550089902,0.0,-1.0179334517136738,10.715700977206223,0.032838580745222744
-12.5065,106.15706857818779,108.31198622162373,0.0,-2.1549176434359367,11.637773447179732,0.049123760688567525
-12.4565,97.92227904489052,98.00362413467909,0.0,-0.08134508978857014,13.08338237389668,0.07639230861093402
-12.406500000000001,97.32984239824981,97.51855953532429,0.0,-0.18871713707447668,14.056738783081524,0.10971708132703684
-12.3565,113.28382710994123,110.20639360950923,0.0,3.0774335004319937,15.77811308778444,0.15998680087146605
-12.3065,126.91473773797404,122.01174047902761,0.0,4.902997258946428,16.58169814387303,0.23015493879503351
-12.2565,128.0732341140612,123.1150973115562,0.0,4.958136802504995,15.349274840838468,0.2913066550644472
-12.2065,121.15183635335822,119.57549077803313,0.0,1.5763455753250923,12.848096863208326,0.38732080439464306
-12.156500000000001,106.60622240541531,121.99825368828765,0.0,-15.392031282872338,9.543534713999147,0.8174346831961739
-12.1065,96.03385590530326,129.7821764824347,0.0,-33.74832057713144,6.831284421807027,1.9064293138764956
-12.0565,86.93952002738473,127.25898623675481,0.0,-40.31946620937008,4.934392758511803,2.6143627485811947
-12.0065,74.06583288580357,105.76833476022695,0.0,-31.702501874423376,3.4531558082350617,1.7468241574227812
-11.9565,60.07645241813812,77.19821248878507,0.0,-17.121760070646957,2.2874911713883384,0.6942551164735953
-11.906500000000001,37.308512706909255,53.742021659790765,0.0,-16.43350895288151,1.1764835053206892,0.24047986862675852
-11.8565,13.544269583608934,33.67502437537171,0.0,-20.13075479176278,0.3677535281256752,0.06458079655987145
-11.8065,2.383472659743685,15.392174021051925,0.0,-13.00870136130824,0.05890061982281257,0.009671116340984501
-11.7565,0.17734599198312942,4.259394929921168,0.0,-4.082048937938039,0.0041834708457226255,0.0006653516384025496
-11.7065,0.005045414547975764,0.6245097651542058,0.0,-0.61946435060623,0.00011544765001766085,1.796140812954449e-05
-11.656500000000001,0.0,0.042267794961831584,0.0,-0.042267794961831584,0.0,0.0
-11.6065,0.0,0.0011284865928763818,0.0,-0.0011284865928763818,0.0,0.0
-11.5565,0.0,0.0,0.0,0.0,0.0,0.0
-11.5065,0.0,0.0,0.0,0.0,0.0,0.0
-11.4565,0.0,0.0,0.0,0.0,0.0,0.0
-11.406500000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.3565,0.0,0.0,0.0,0.0,0.0,0.0
-11.3065,0.0,0.0,0.0,0.0,0.0,0.0
-11.2565,0.0,0.0,0.0,0.0,0.0,0.0
-11.2065,0.0,0.0,0.0,0.0,0.0,0.0
-11.156500000000001,0.0,0.0,0.0,0.0,0.0,0.0
-11.1065,0.0,0.0,0.0,0.0,0.0,0.0
-11.0565,0.0,0.0,0.0,0.0,0.0,0.0
