Energy_minus_Ef,Total_DOS_Combi,Total_DOS_Slab,Total_DOS_Ads,Delta_DOS,Zr_d_proj,S_p_proj
-16.4432,0.0,0.0,0.0,0.0,0.0,0.0
-16.3932,0.0,0.0,0.0,0.0,0.0,0.0
-16.3432,0.0,0.0,0.0,0.0,0.0,0.0
-16.2932,0.0,0.0007189059960805431,0.0,-0.0007189059960805431,0.0,0.0
-16.2432,0.0011723562716251378,0.02492424350770117,0.0,-0.023751887236076033,1.595354726844952e-05,6.4150371602830315e-06
-16.1932,0.04002624510676041,0.3280934955288968,0.0,-0.2880672504221364,0.0005442976728617904,0.0002165284585809252
-16.1432,0.5139543172348924,1.7870057126639332,0.0,-1.2730513954290408,0.00698080174039877,0.0027260669899258887
-16.0932,2.644471480088632,4.63269598117535,0.0,-1.9882245010867177,0.03581681419171767,0.013336715428866445
-16.0432,6.179978747289494,7.070928863878183,0.0,-0.8909501165886891,0.08322248723266915,0.027641446619733723
-15.993200000000002,8.376720650122461,8.166351017748466,0.0,0.21036963237399497,0.11200085160593776,0.029539669160511935
-15.943200000000001,9.120966828389978,8.793350611879116,0.0,0.3276162165108616,0.12197481278269634,0.02322422853335499
-15.8932,9.755851631190108,9.29041629709424,0.0,0.46543533409586857,0.13263267720151817,0.018960064790092677
-15.8432,10.381837519433219,10.084073847180662,0.0,0.2977636722525574,0.1553616730605779,0.0165697357954246
-15.793199999999999,10.938479126574144,13.480547424624888,0.0,-2.5420682980507436,0.26715627239640893,0.014251757013955077
-15.743200000000002,12.422560921905184,19.14280113080708,0.0,-6.720240208901895,0.8590439889307262,0.011661595122346397
-15.693200000000001,19.72708170247749,23.874524809115105,0.0,-4.147443106637613,3.0337110205741427,0.011002573743002682
-15.6432,35.986140393594404,29.518620358866464,0.0,6.46752003472794,7.040130985939402,0.015618595138942646
-15.5932,50.58093645624814,36.5892753447744,0.0,13.99166111147374,10.344076537289197,0.02206755496069977
-15.543199999999999,52.875702840136455,44.02039551520987,0.0,8.855307324926585,10.891070996730068,0.024443854140524027
-15.493200000000002,50.54343375667497,54.78626327533971,0.0,-4.242829518664735,10.016125354294624,0.026549261459287113
-15.443200000000001,52.81419087700603,66.43619658294168,0.0,-13.62200570593565,9.978769171643462,0.03308956333405517
-15.3932,55.0544099350703,70.37298667536282,0.0,-15.318576740292528,10.174448778388976,0.04167338232814648
-15.3432,58.169885109590254,72.44692666527541,0.0,-14.277041555685159,10.376107006938561,0.06167238678733431
-15.293199999999999,72.43396708353195,79.38939695470239,0.0,-6.955429871170438,12.163618178530388,0.1171202587757606
-15.243200000000002,90.36799822820794,83.69423326163701,0.0,6.673764966570928,14.508877718984028,0.20526284365954633
-15.193200000000001,98.69650359101792,84.56085971619653,0.0,14.135643874821383,15.342779481561761,0.30797909024694964
-15.1432,100.89896415254748,91.08883076399388,0.0,9.810133388553595,15.263385649603169,0.41549699900117965
-15.0932,102.09870950056398,104.0490794004312,0.0,-1.950369899867212,15.137473044604667,0.4515361094925153
-15.043199999999999,97.93507245843954,109.1205593036615,0.0,-11.18548684522196,14.277209459207661,0.3393920831480512
-14.993200000000002,86.1282947144123,102.4397036580848,0.0,-16.31140894367249,12.236139285662459,0.19370017194711725
-14.943200000000001,79.11328941068018,95.31805930823393,0.0,-16.204769897553746,10.960414165721945,0.14648137044007914
-14.8932,80.95502333396192,93.188702800384,0.0,-12.233679466422075,11.265876682435884,0.1722413000713447
-14.8432,85.90969669641086,93.73674409357754,0.0,-7.82704739716668,12.12960618901248,0.1613900108387447
-14.793199999999999,88.93725413581532,92.74237658904723,0.0,-3.8051224532319026,12.54843448655201,0.12932815114975002
-14.743200000000002,90.84284528277377,90.36093697684446,0.0,0.4819083059293092,12.947633531744493,0.12700214476350205
-14.693200000000001,89.59165561418452,87.61229129431284,0.0,1.979364319871678,13.378679687998702,0.12517120128779158
-14.6432,84.1102454088452,83.9610022496657,0.0,0.14924315917950537,12.707986778922923,0.10868157081338221
-14.5932,79.8676151584405,78.23395598795766,0.0,1.6336591704828436,11.530613815974437,0.08519675855521394
-14.543199999999999,78.10762002949082,75.75192338993638,0.0,2.355696639554438,11.140941162598413,0.07026384778809683
-14.493200000000002,75.33068851360397,78.9742718526894,0.0,-3.643583339085424,10.754821330362567,0.06756831716331003
-14.443200000000001,72.35204468257585,80.62160411975874,0.0,-8.269559437182892,10.1053624326535,0.06937283450780594
-14.3932,74.85530139743094,77.69274083334125,0.0,-2.837439435910312,9.913708798227354,0.07993322500683914
-14.3432,78.42367655621749,80.28304163553773,0.0,-1.8593650793202414,9.70973760758022,0.08796501001020485
-14.293199999999999,76.85177710974816,88.03166080376675,0.0,-11.1798836940186,9.104549057227562,0.0960900596475598
-14.243200000000002,73.43185475428288,85.80645032459911,0.0,-12.374595570316231,8.439763115383057,0.11143948803603052
