cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
328,"(3,-1)",S-N,S,N,12.8790813504,12.4563523856,33.1658929022,6.815316348216459,6.591617813648497,17.55063470365762,0.1810456931,-0.2044707258,0.1322815480584285,-0.0811638666084285,0.05111768145000001,0.6135690714216512
329,"(3,-1)",S-S,S,S,7.957902196,12.5716717229,42.0298222823,4.211140488853424,6.652642178926054,22.241224130810785,0.1399447353,-0.1149941909,0.08914288181085242,-0.060394334085852416,0.028748547725000004,0.677500355148939
330,"(3,-1)",S-S,S,S,11.0181696835,11.5839468527,42.0230945316,5.830564302557829,6.129960686957299,22.237663958459596,0.1321426301,-0.1005866151,0.08166843816211344,-0.056521784387113444,0.025146653775,0.6920884696596817
331,"(3,-1)",N-Sc,N,Sc,19.1003296856,12.6601949833,31.531977958,10.107459190678288,6.6994866709660705,16.686004150605356,0.07554898799,0.2582365121,0.08180530103322359,-0.14636442905822358,-0.064559128025,1.789180251274677
332,"(3,-1)",N-Sc,N,Sc,8.4520243523,23.3047240913,31.5404129811,4.472618673378034,12.332328895894266,16.690467772603462,0.07402091747,0.2725475372,0.0828924902760295,-0.1510293745760295,-0.06813688429999999,1.8219910401184258
333,"(3,-1)",N-Sc,N,Sc,12.7790151816,19.0834201778,31.5433345543,6.762363612103425,10.098511064502656,16.692013802560936,0.07373679244,0.2657366666,0.0815179546954098,-0.1479521213454098,-0.06643416665,1.8149636101424518
334,"(3,-1)",N-Sc,N,Sc,2.0515370986,16.923397228,31.5312605345,1.085626679936057,8.9554761444043,16.68562450643858,0.07322482875,0.253689183,0.07908023497158798,-0.14250253072158797,-0.06342229575,1.8019993336234574
335,"(3,-1)",Sc-N,Sc,N,12.7433033342,6.2707536204,31.4814370409,6.743465716299493,3.3183399112097645,16.65925904905704,0.0729129624,0.2469931302,0.07770338620014228,-0.13945166875014228,-0.061748282550000005,1.7946665592018556
336,"(3,-1)",Sc-N,Sc,N,16.9495255199,21.1658653953,29.43611108,8.969302641038045,11.200493616592997,15.57691916164571,0.07172281155,0.2697297409,0.08050423314063349,-0.1479366683656335,-0.067432435225,1.837625955733306
337,"(3,-1)",N-Sc,N,Sc,4.2206216103,21.1601320998,29.4143665027,2.2334567720872336,11.197459687270927,15.56541242687746,0.07010334888,0.1746278036,0.06332619866008393,-0.10698314956008392,-0.04365695089999999,1.6893979399322139
338,"(3,-1)",N-Sc,N,Sc,2.0964456679,8.4283697996,31.5763680166,1.1093912713846386,4.4601012231546875,16.70949435800788,0.0689249638,0.2643801424,0.07733157204826263,-0.14342660764826265,-0.06609503560000002,1.8546966504023752
339,"(3,-1)",N-Sc,N,Sc,4.232693632,4.2251681271,29.4229808698,2.239845010860605,2.235862685166858,15.56997095363328,0.06790767921,0.1502843836,0.0575012854484426,-0.09507238134844259,-0.03757109589999999,1.653395756407696
340,"(3,-1)",N-Sc,N,Sc,16.9217289927,16.916464927,29.4316336595,8.954593352301087,8.951807728695861,15.574549812753405,0.06704502753,0.1275196975,0.053022965606943806,-0.08490288998194381,-0.03187992437500001,1.6012474785232507
341,"(3,-1)",N-Sc,N,Sc,12.7017377276,21.1363310355,29.434317533,6.721470144528706,11.184864706447726,15.575970057446597,0.06680279771,0.1226036224,0.05201254685164633,-0.08266345245164633,-0.0306509056,1.58929830310799
342,"(3,-1)",Sc-N,Sc,N,8.4473859916,21.2153188569,29.5060392093,4.470164158599566,11.226663261472826,15.613923534073537,0.066128399,0.1975354357,0.0639716430160705,-0.1133555019410705,-0.049383858924999996,1.7719648362414913
343,"(3,-1)",Sc-N,Sc,N,17.0117542421,12.6622666671,29.4977708148,9.002232662690957,6.700582958821263,15.60954808813324,0.0659811881,0.1859950783,0.061933136460596866,-0.10843190603559687,-0.046498769575,1.750789839371101
344,"(3,-1)",N-Sc,N,Sc,21.1525065253,21.143174875,29.4124092105,11.193424407025356,11.18848631034632,15.564376672450111,0.0657606915,0.1709301777,0.0592502193402024,-0.1019827637652024,-0.042732544425000005,1.7212217085583876
345,"(3,-1)",N-Sc,N,Sc,21.160051689,4.2213353518,29.4076673372,11.197417135708056,2.233834467823521,15.56186738116268,0.06573297563,0.1807115338,0.06085883995176898,-0.10603672340176898,-0.04517788345,1.742338885949909
