cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
310,"(3,-1)",S-S,S,S,12.4366988148,8.2371630093,37.4556208828,6.581217591867934,4.358918947154768,19.820660992037013,0.1348401884,-0.101027703,0.08496667388104001,-0.05970974813104001,0.02525692575,0.7027431509751497
311,"(3,-1)",S-S,S,S,10.4309031648,10.2485830959,38.9359172939,5.519796244125465,5.4233166185702215,20.604000118197796,0.1336489322,-0.1059595876,0.08265011026991474,-0.05616021336991474,0.026489896900000004,0.67949350807288
316,"(3,-1)",Nb-N,Nb,N,1.911527765,8.262863087,31.4602247474,1.0115369312788411,4.3725188425924815,16.648033986745496,0.09104035579,0.3460755972,0.11057961049835197,-0.19709850979835197,-0.08651889930000001,1.7824127694977678
317,"(3,-1)",Nb-N,Nb,N,8.2816603641,1.9068482937,31.4536600053,4.38246593326115,1.0090606617077271,16.644560074830608,0.09047928427,0.3403481875,0.10908279438103899,-0.19416984125603898,-0.08508704687499999,1.7800226182121899
324,"(3,-1)",Nb-N,Nb,N,22.7790699932,12.4428052557,31.4499866554,12.05416472635304,6.584448981232043,16.642616221775793,0.08574206775,0.3061815559,0.09889971721670104,-0.17544510619170106,-0.07654538897500002,1.7739697456088774
325,"(3,-1)",Nb-N,Nb,N,22.8733692365,8.2757095653,31.4450047949,12.1040657369144,4.37931690614942,16.63997993473121,0.08530312927,0.3018401654,0.09776842011926305,-0.17322846146926307,-0.07546004135000002,1.77182428904906
326,"(3,-1)",N-Nb,N,Nb,12.454646671,22.750658493,31.4396000414,6.590715188353844,12.03913000791915,16.637119862348367,0.08516694851,0.2694729738,0.0922476729286783,-0.1596159163786783,-0.06736824345,1.7302974840577936
327,"(3,-1)",Nb-N,Nb,N,8.2892460396,22.864031713,31.4422864792,4.386480099865184,12.09912453227177,16.638541464010682,0.08509237149,0.3083933109,0.09866533317307691,-0.1757636608980769,-0.077098327725,1.7814125310837956
328,"(3,-1)",Nb-N,Nb,N,12.4502580691,2.073211943,31.3625331546,6.588392840240563,1.0970965136427742,16.596337822137258,0.08499037536,0.1387762388,0.07030143219602308,-0.10499549189602309,-0.0346940597,1.4935043087495254
329,"(3,-1)",Nb-N,Nb,N,18.651445479,8.2920300752,31.3658260283,9.869919898203664,4.387953348059094,16.598080335857734,0.08430085648,0.3167926299,0.09933471975110941,-0.17853287722610942,-0.079198157475,1.7972857594347367
330,"(3,-1)",Nb-N,Nb,N,2.1002519379,12.4296580947,31.3774410798,1.1114054627272472,6.577491803242548,16.604226756415198,0.08417643297,0.3159023028,0.09907191398728724,-0.17804748968728723,-0.0789755757,1.7971540320714308
340,"(3,-1)",Nb-N,Nb,N,24.8890415984,1.9695345657,31.4421884933,13.17071361551317,1.0422328082876595,16.638489612105413,0.08306039765,0.2138240777,0.08103763325946567,-0.13449365268446567,-0.053456019425,1.659644380948848
341,"(3,-1)",Nb-N,Nb,N,1.982916512,24.881998099,31.4412090224,1.0493142293073747,13.166986356145562,16.637971298426372,0.08298257949,0.2379002848,0.08497946506237558,-0.1444545362623756,-0.05947507120000001,1.6998758012461581
342,"(3,-1)",N-Nb,N,Nb,8.2965191635,18.6366438614,31.3717526441,4.390328871285261,9.862087219484991,16.601216565876975,0.08297540826,0.3040132011,0.09599175580003214,-0.17199505607503213,-0.07600330027499999,1.7917690393467576
343,"(3,-1)",Nb-N,Nb,N,1.9956626628,16.6038986484,31.4229839482,1.0560592018376844,8.78640477715867,16.628327004492405,0.08227233324,0.2552806848,0.08723142232349931,-0.1510515935234993,-0.0638201712,1.7316190599681125
383,"(3,-1)",Nb-N,Nb,N,16.6244934904,1.9770774443,31.4183381639,8.797303098207568,1.0462243277475158,16.625868561313997,0.08200568473,0.2260333264,0.08211574840444147,-0.13862408000444149,-0.05650833160000002,1.6881546195217239
385,"(3,-1)",Nb-N,Nb,N,16.6209547897,18.5959421333,31.449221138,8.795430498440862,9.84054879252941,16.642211127413148,0.08173806908,0.2588566488,0.08734483837372528,-0.1520590005737253,-0.06471416220000001,1.7409042526715244
422,"(3,-1)",N-Nb,N,Nb,6.1170592544,12.4438061584,31.4557390119,3.237008355275767,6.584978636131232,16.64566023774468,0.08071438449,0.1956834409,0.07589718576843929,-0.12481804599343929,-0.048920860225,1.644567512348304
426,"(3,-1)",N-Nb,N,Nb,22.7753418382,4.1118906921,31.4269811779,12.052191871688262,2.175918848053387,16.63044224735646,0.08052646031,0.285135525,0.09063803886133687,-0.16192192011133688,-0.07128388125000001,1.7864676039499716
427,"(3,-1)",N-Nb,N,Nb,2.1327904978,20.7425728026,31.4196293666,1.1286241271024824,10.976496822984917,16.626551836357514,0.08034057002,0.277129008,0.08913786483863792,-0.15842011683863794,-0.06928225200000002,1.7772482785561268
428,"(3,-1)",N-Nb,N,Nb,20.754764296,2.1217821619,31.4247545587,10.982948283459278,1.12279876661405,16.62926397121842,0.0803195611,0.2874928406,0.09084645311802478,-0.16271966326802478,-0.07187321015,1.791150426716436
