cp_no,cp_type,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
338,"(3,-1)",9.9125448015,7.0726818044,38.4724411082,5.245492811177315,3.7427020309770254,20.358739082921232,0.1523485231,-0.1441175831,0.10075676952721341,-0.06472737375221341,0.036029395775,0.6424121580707407
339,"(3,-1)",11.0804617299,14.7672803486,37.1705101697,5.86352783393428,7.814508227745874,19.669786900075344,0.1410561486,-0.1174379592,0.09017298763054549,-0.06081349783054549,0.0293594898,0.6744092596744052
340,"(3,-1)",8.7653235927,12.7823528504,38.167029641,4.63840949159626,6.764129830369985,20.19712229452535,0.1368020198,-0.1019566102,0.08729245379686346,-0.06180330124686345,0.025489152550000005,0.7080027947282213
341,"(3,-1)",12.9420090899,6.7002304602,37.5731549645,6.84861627389457,3.5456092674498643,19.882857349579062,0.1319494866,-0.08793670122,0.08353708674943416,-0.061552911444434165,0.021984175305,0.7368333495883024
342,"(3,-1)",14.4240416302,14.4615227387,37.0946832065,7.632874120063207,7.652708268521426,19.629660999176632,0.1307798572,-0.09044140148,0.08167325023089471,-0.059062899860894705,0.022610350370000004,0.7231608843032533
343,"(3,-1)",4.2327106931,8.4568425683,29.4478607657,2.239854039205918,4.475168363482524,15.583136827553622,0.07067352598,0.2603722997,0.07808209947623398,-0.14317517440123398,-0.065093074925,1.833649138043637
344,"(3,-1)",16.9245447204,4.2216951823,29.4665142936,8.956083371232085,2.2340248819239155,15.593007849421562,0.0697671358,0.1174308975,0.05352027623574532,-0.08287800061074532,-0.029357724375000005,1.5485346197707488
345,"(3,-1)",16.922953759,25.3764874202,29.4319495115,8.95524147071575,13.428658835967903,15.574716954433828,0.06683902631,0.1284636512,0.05301776641468395,-0.08513367921468395,-0.03211591280000001,1.6057575596226004
346,"(3,-1)",21.1505420663,4.2272270397,29.4366234318,11.192384860090769,2.236952214794054,15.577190286542244,0.06670996129,0.1159460944,0.05082985096476189,-0.0798163745647619,-0.028986523600000008,1.5702657601749628
347,"(3,-1)",16.9272755769,8.4553567907,29.4303852741,8.957528478258178,4.474382123836108,15.57388919564928,0.06654788357,0.1362478934,0.05408601183031268,-0.08814798518031268,-0.03406197335,1.6297741726061201
