cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
335,"(3,-1)",S-S,S,S,13.8216167422,5.9369123861,35.5137691232,7.314084598042573,3.1416787379528004,18.79307729387179,0.1419600182,-0.132238249,0.08888083783712318,-0.05582127558712318,0.03305956225,0.628046235223585
336,"(3,-1)",S-S,S,S,18.1386150996,13.6388105373,35.4920326116,9.598541748357727,7.217347720394721,18.781574827288175,0.1417823143,-0.1351498353,0.08816425494538332,-0.054376796120383326,0.033787458825,0.6167669216290558
337,"(3,-1)",S-S,S,S,9.2536576331,20.6681919177,35.8698064156,4.896824737092427,10.937136153767772,18.981484115247532,0.1405957898,-0.1249776598,0.08832006523352802,-0.05707565028352802,0.03124441495,0.6462365050638684
345,"(3,-1)",S-Ti,S,Ti,7.8398641769,11.8669644317,33.4571837883,4.148677459123563,6.279727140053849,17.704779202330435,0.09880181819,0.1883356774,0.09201777851028013,-0.13910169786028015,-0.04708391935000002,1.511682852077763
348,"(3,-1)",N-Ti,N,Ti,11.9442710408,21.8919082227,30.7111849728,6.32063603584307,11.584698935005001,16.25165920795452,0.08795452475,0.3880585858,0.11462222232423273,-0.21163686877423274,-0.09701464645,1.8463860190703156
349,"(3,-1)",N-Ti,N,Ti,11.9676133354,17.9690617215,30.7620103971,6.332988246195971,9.508817964632705,16.27855486422942,0.08667189425,0.3547264473,0.10785885366808118,-0.19654046549308118,-0.088681611825,1.822200577969277
350,"(3,-1)",Ti-N,Ti,N,21.9311380577,11.9239782683,30.6886931376,11.605458469675153,6.309897563089686,16.239757041334915,0.08658791865,0.206246035,0.0830334410634708,-0.1345949498134708,-0.05156150875000001,1.620972804325746
351,"(3,-1)",N-Ti,N,Ti,7.9540195159,2.0270256846,30.7552631154,4.2090858630272106,1.0726557982398315,16.27498435651812,0.08590415994,0.2271901386,0.08588540173973261,-0.14268293638973262,-0.05679753465000001,1.6613176802982121
352,"(3,-1)",Ti-N,Ti,N,2.0184666728,15.9125501306,30.7918220826,1.0681265642472761,8.42055889673559,16.294330528815134,0.0836735171,0.1840831052,0.0766407230493819,-0.12266149934938189,-0.046020776299999996,1.6004741926866666
353,"(3,-1)",N-Ti,N,Ti,1.9331605879,19.9027752685,30.7819523884,1.0229845281653895,10.532095106152385,16.289107711565745,0.08364066606,0.28604714,0.0936046587427579,-0.1651164437427579,-0.07151178500000001,1.7639767716746555
354,"(3,-1)",N-Ti,N,Ti,5.9163198533,19.9565772505,30.8757539674,3.1307816388799177,10.560565888929114,16.338745369520858,0.0832200657,0.3316825746,0.10082626516725308,-0.18374690881725309,-0.08292064365,1.8224111397208773
357,"(3,-1)",N-Ti,N,Ti,17.9479808736,15.9031796493,30.8936497923,9.497662460337153,8.415600251576278,16.348215432228553,0.08171831343,0.1902470469,0.07589210049140378,-0.12345386221640378,-0.047561761725,1.6267024027143282
359,"(3,-1)",Ti-N,Ti,N,3.9590562984,13.9394203117,30.7513866188,2.0950423698625715,7.376423562387003,16.272933002859194,0.0813992025,0.08840946203,0.05863197744605745,-0.08073434295355744,-0.022102365507499992,1.376967765206872
360,"(3,-1)",Ti-N,Ti,N,17.9477541557,7.9596232501,30.7283193651,9.497542486391167,4.212051231461904,16.260726337882645,0.08129641435,0.1894429787,0.07537854957331593,-0.12273929424831592,-0.047360744675,1.6283053327914623
