cp_no,cp_type,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
310,"(3,-1)",12.4366988148,8.2371630093,37.4556208828,6.581217591867934,4.358918947154768,19.820660992037013,0.1348401884,-0.101027703,0.08496667388104001,-0.05970974813104001,0.02525692575,0.7027431509751497
316,"(3,-1)",1.911527765,8.262863087,31.4602247474,1.0115369312788411,4.3725188425924815,16.648033986745496,0.09104035579,0.3460755972,0.11057961049835197,-0.19709850979835197,-0.08651889930000001,1.7824127694977678
317,"(3,-1)",8.2816603641,1.9068482937,31.4536600053,4.38246593326115,1.0090606617077271,16.644560074830608,0.09047928427,0.3403481875,0.10908279438103899,-0.19416984125603898,-0.08508704687499999,1.7800226182121899
324,"(3,-1)",22.7790699932,12.4428052557,31.4499866554,12.05416472635304,6.584448981232043,16.642616221775793,0.08574206775,0.3061815559,0.09889971721670104,-0.17544510619170106,-0.07654538897500002,1.7739697456088774
325,"(3,-1)",22.8733692365,8.2757095653,31.4450047949,12.1040657369144,4.37931690614942,16.63997993473121,0.08530312927,0.3018401654,0.09776842011926305,-0.17322846146926307,-0.07546004135000002,1.77182428904906
326,"(3,-1)",12.454646671,22.750658493,31.4396000414,6.590715188353844,12.03913000791915,16.637119862348367,0.08516694851,0.2694729738,0.0922476729286783,-0.1596159163786783,-0.06736824345,1.7302974840577936
327,"(3,-1)",8.2892460396,22.864031713,31.4422864792,4.386480099865184,12.09912453227177,16.638541464010682,0.08509237149,0.3083933109,0.09866533317307691,-0.1757636608980769,-0.077098327725,1.7814125310837956
328,"(3,-1)",12.4502580691,2.073211943,31.3625331546,6.588392840240563,1.0970965136427742,16.596337822137258,0.08499037536,0.1387762388,0.07030143219602308,-0.10499549189602309,-0.0346940597,1.4935043087495254
329,"(3,-1)",18.651445479,8.2920300752,31.3658260283,9.869919898203664,4.387953348059094,16.598080335857734,0.08430085648,0.3167926299,0.09933471975110941,-0.17853287722610942,-0.079198157475,1.7972857594347367
330,"(3,-1)",2.1002519379,12.4296580947,31.3774410798,1.1114054627272472,6.577491803242548,16.604226756415198,0.08417643297,0.3159023028,0.09907191398728724,-0.17804748968728723,-0.0789755757,1.7971540320714308
340,"(3,-1)",24.8890415984,1.9695345657,31.4421884933,13.17071361551317,1.0422328082876595,16.638489612105413,0.08306039765,0.2138240777,0.08103763325946567,-0.13449365268446567,-0.053456019425,1.659644380948848
341,"(3,-1)",1.982916512,24.881998099,31.4412090224,1.0493142293073747,13.166986356145562,16.637971298426372,0.08298257949,0.2379002848,0.08497946506237558,-0.1444545362623756,-0.05947507120000001,1.6998758012461581
342,"(3,-1)",8.2965191635,18.6366438614,31.3717526441,4.390328871285261,9.862087219484991,16.601216565876975,0.08297540826,0.3040132011,0.09599175580003214,-0.17199505607503213,-0.07600330027499999,1.7917690393467576
343,"(3,-1)",1.9956626628,16.6038986484,31.4229839482,1.0560592018376844,8.78640477715867,16.628327004492405,0.08227233324,0.2552806848,0.08723142232349931,-0.1510515935234993,-0.0638201712,1.7316190599681125
383,"(3,-1)",16.6244934904,1.9770774443,31.4183381639,8.797303098207568,1.0462243277475158,16.625868561313997,0.08200568473,0.2260333264,0.08211574840444147,-0.13862408000444149,-0.05650833160000002,1.6881546195217239
385,"(3,-1)",16.6209547897,18.5959421333,31.449221138,8.795430498440862,9.84054879252941,16.642211127413148,0.08173806908,0.2588566488,0.08734483837372528,-0.1520590005737253,-0.06471416220000001,1.7409042526715244
422,"(3,-1)",6.1170592544,12.4438061584,31.4557390119,3.237008355275767,6.584978636131232,16.64566023774468,0.08071438449,0.1956834409,0.07589718576843929,-0.12481804599343929,-0.048920860225,1.644567512348304
426,"(3,-1)",22.7753418382,4.1118906921,31.4269811779,12.052191871688262,2.175918848053387,16.63044224735646,0.08052646031,0.285135525,0.09063803886133687,-0.16192192011133688,-0.07128388125000001,1.7864676039499716
427,"(3,-1)",2.1327904978,20.7425728026,31.4196293666,1.1286241271024824,10.976496822984917,16.626551836357514,0.08034057002,0.277129008,0.08913786483863792,-0.15842011683863794,-0.06928225200000002,1.7772482785561268
428,"(3,-1)",20.754764296,2.1217821619,31.4247545587,10.982948283459278,1.12279876661405,16.62926397121842,0.0803195611,0.2874928406,0.09084645311802478,-0.16271966326802478,-0.07187321015,1.791150426716436
429,"(3,-1)",22.8721761552,16.6081861977,31.4229259807,12.103434385479664,8.788673650538927,16.628296329412432,0.08028531159,0.2816251731,0.0898380021426312,-0.1602442954176312,-0.07040629327499999,1.7837027938713454
430,"(3,-1)",22.8686210388,24.8783833038,31.4348549941,12.101553098898618,13.16507348890358,16.634608891452473,0.08024678264,0.2866877292,0.09064745372755137,-0.16231938602755136,-0.07167193229999999,1.7906668014682032
431,"(3,-1)",24.8893306461,22.8575031782,31.4357023533,13.17086657296888,12.095669780434914,16.635057294630577,0.08020983722,0.2931190897,0.09168645973159079,-0.1649662321565908,-0.073279772425,1.799243123134258
432,"(3,-1)",18.6175780155,16.6055686111,31.4468787793,9.851998008327799,8.787288483362596,16.64097160456931,0.08001239238,0.2788444189,0.08913176123083666,-0.15884286595583666,-0.069711104725,1.7821129501128072
434,"(3,-1)",4.1243476622,22.7691754507,31.4223534339,2.1825107927474185,12.048928759949561,16.627993350693686,0.07953306318,0.2748004867,0.08803270880882995,-0.15673283048382997,-0.06870012167500002,1.7803931357398965
436,"(3,-1)",16.6209576959,22.8489433342,31.4228056712,8.795432036335672,12.091140106061083,16.628232664366774,0.07941406608,0.2925195443,0.09088062374990671,-0.16401050982490673,-0.07312988607500001,1.8046807235417448
441,"(3,-1)",4.0666980536,6.1496511675,31.4343481455,2.1520039336578405,3.254255252948572,16.634340678723966,0.07914669008,0.2509290484,0.08371274496508907,-0.14644500706508906,-0.06273226209999999,1.7493752848047377
449,"(3,-1)",20.7700639657,6.1614515267,31.426355326,10.991044519999122,3.260499734117882,16.630111060793567,0.07869293471,0.2631007535,0.0853418506196447,-0.15111703899464468,-0.06577518837499999,1.7707260610992575
451,"(3,-1)",24.8810993978,14.560439992,31.4266747843,13.166510783951097,7.705053024734587,16.630280110845767,0.07858965648,0.2838416817,0.08870795403715845,-0.15966837446215845,-0.070960420425,1.7999330070815942
452,"(3,-1)",14.5720254281,24.856910058,31.4197381823,7.711183773497277,13.153710336581737,16.626609419146146,0.07856948429,0.275983457,0.08738054026331188,-0.15637640451331186,-0.06899586424999998,1.7896021704842788
453,"(3,-1)",10.3000543131,24.8493022071,31.4415475536,5.450554013730775,13.149684435261378,16.6381504414226,0.07827866153,0.2571996801,0.08399492736317228,-0.14829484738817228,-0.064299920025,1.7655214671117438
457,"(3,-1)",6.1669241546,4.059628875,31.4365707341,3.2633957240864073,2.1482630854427973,16.635516821960334,0.07811916426,0.2671626116,0.08551584199136356,-0.15230649489136355,-0.0667906529,1.78103251216009
459,"(3,-1)",24.8664664568,10.2862901108,31.4492142844,13.15876736504516,5.4432703115471215,16.642207500644215,0.07801756033,0.2357987,0.08019971011667826,-0.13914938511667826,-0.05894967500000001,1.73503601090624
460,"(3,-1)",6.259221837,16.627770768,31.3703397524,3.312237554233219,8.799037358827347,16.600468895787834,0.07790994394,0.2833243271,0.08802666317762683,-0.15885774495262683,-0.070831081775,1.80465485363306
461,"(3,-1)",12.4844092708,6.0943690788,31.4313171476,6.6064648779057356,3.2250012314364738,16.63273674370894,0.07770791354,0.1475474852,0.06522098367672154,-0.10210785497672153,-0.0368868713,1.5655675400855007
464,"(3,-1)",12.4003410206,12.3763723769,29.5811434054,6.561977875737975,6.549294215715273,15.653666963094123,0.07753981496,0.149661577,0.06542695350318387,-0.10284234775318386,-0.03741539425,1.5718651449693322
480,"(3,-1)",16.6522559484,6.2497775142,31.3655152441,8.811994358300293,3.307239833834887,16.59791587594158,0.07666240164,0.2851761988,0.08725211481351561,-0.1585461645135156,-0.0712940497,1.8171039733807843
483,"(3,-1)",24.8795416653,6.2307069997,31.4508374425,13.165686467411387,3.2971481521609673,16.643066438920457,0.07651544883,0.2886713532,0.0877078152556923,-0.15987565355569228,-0.07216783829999998,1.8228210689048743
484,"(3,-1)",6.2433182463,24.873789015,31.4445581014,3.30382173646298,13.162642295970235,16.639743554710744,0.07633746356,0.2868333961,0.0872480990211092,-0.1589564480461092,-0.071708349025,1.8218901022433804
485,"(3,-1)",12.359263285,4.0094104898,29.4693334806,6.540240474182258,2.121688660425755,15.594499698935284,0.07627752752,0.2834131553,0.08662645883084671,-0.1574797476558467,-0.070853288825,1.8179174097760757
493,"(3,-1)",4.0434495174,12.3492677742,29.4861270742,2.1397013381135523,6.534951077655393,15.603386485957856,0.07531977847,0.2743637278,0.08429734770049693,-0.15288827965049695,-0.06859093195000002,1.8136784112555853
494,"(3,-1)",12.5179642798,10.4203354828,31.4841160134,6.62422142398075,5.514204067638817,16.660676700252722,0.07297887496,0.2744330352,0.0823317700360391,-0.1509400288360391,-0.0686082588,1.8333145123682886
495,"(3,-1)",8.2597679703,6.1521344421,31.4024101984,4.370880977369704,3.2555693452753487,16.617439844955076,0.0726533023,0.2490893053,0.0778361397979232,-0.14010846612292321,-0.062272326325000016,1.800043867625891
496,"(3,-1)",6.160184547,8.2414127849,31.3967155981,3.2598292773339437,4.361167831553812,16.61442639225102,0.0720070447,0.2353254122,0.07500528776100737,-0.13383664081100738,-0.05883135305000001,1.7843627403638116
497,"(3,-1)",14.5950844235,12.4718011818,31.3993873299,7.723386068369666,6.599792964533684,16.61584021183327,0.07181194122,0.238850173,0.07543129724043826,-0.13514384049043826,-0.05971254325,1.7916149587042827
498,"(3,-1)",12.4863104974,14.5530932394,31.4069882391,6.60747096369525,7.701165290684401,16.61986243976418,0.07163976072,0.181365868,0.06570834082935283,-0.11104980782935284,-0.04534146700000001,1.6900412706775476
501,"(3,-1)",10.4413925872,12.4688563382,31.4819766657,5.525347007415259,6.598234620410841,16.65954460620365,0.06999290345,0.2420865302,0.07447950878197669,-0.1350011413319767,-0.060521632549999996,1.8125944107279832
503,"(3,-1)",4.0579570026,20.6477850604,29.5202456273,2.1473783686691514,10.926337309938116,15.62144124672794,0.06673085462,0.2306094946,0.06995686507266273,-0.12760923872266272,-0.05765237364999999,1.8241131673084219
