cp_no,cp_type,bond_type,atom1,atom2,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,bond_length_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
308,"(3,-1)",S-S,S,S,9.77866837311619,13.965804931464337,35.903547767094246,5.1746484561972395,7.39038570188508,18.99933926952393,2.0425711164301084,0.151962875,-0.153801166,0.0986168613534954,-0.0601665698534954,0.0384502915,0.6101042867083991
319,"(3,-1)",N-V,N,V,4.017611781516058,13.788920824626652,30.88763585398705,2.126028597102,7.296782663572639,16.34503299312546,2.043894059457408,0.0910708887,0.365163823,0.11379055410157508,-0.20508150985157508,-0.09129095575,1.8022718271369798
322,"(3,-1)",N-V,N,V,13.750376969984197,0.05359798740956711,30.84960127122654,7.276386134074839,0.02836283348832,16.32490595870175,2.0592401985740882,0.0881659086,0.28400525,0.0974802203797881,-0.1684815328797881,-0.0710013125,1.7283663518955448
323,"(3,-1)",V-N,V,N,11.816573033408964,2.004035169865549,30.747373000372644,6.25306116045184,1.0604897417750399,16.270809087454108,2.05664723024058,0.0877240772,0.355036012,0.10890054760308135,-0.19765955060308135,-0.088759003,1.8150464341419763
325,"(3,-1)",N-V,N,V,0.015942650235698474,5.948574498229716,30.898297826072984,0.008436487186399999,3.1478500619230396,16.3506750657768,2.055377204934372,0.0873613308,0.357573254,0.1089811789709409,-0.1983744924709409,-0.08939331350000002,1.8202637771411534
330,"(3,-1)",V-N,V,N,1.9302946121849214,3.9916882841072594,30.874892807096334,1.0214679191299199,2.11231047304592,16.33828966311321,2.070035413676856,0.0856046338,0.225825639,0.08537925135211544,-0.14183566110211543,-0.05645640974999999,1.6612427358629114
338,"(3,-1)",N-V,N,V,2.0533861242697973,0.017544017717050782,30.776481246294615,1.08660514218292,0.009283894363839999,16.28621250784587,2.079454768031232,0.0837634523,0.302205641,0.09641017455037701,-0.17196158480037702,-0.07555141025,1.7836456121186908
341,"(3,-1)",S-V,S,V,8.211898147365215,12.209248984313836,33.58320594038037,4.34554935798184,6.460856324947039,17.77146725328246,2.307053886447924,0.0834486671,0.160025699,0.07242549703491535,-0.11243192178491535,-0.04000642474999999,1.5523803962396479
346,"(3,-1)",N-V,N,V,17.744289033623147,15.768584384108873,30.9475125402555,9.38987338057104,8.3443755045394,16.37671837096413,2.079243097146864,0.0829937083,0.332681665,0.10078649411042953,-0.18395691036042955,-0.08317041625000002,1.825213903748572
352,"(3,-1)",N-V,N,V,13.764193617857014,15.765425210887233,31.211343491174162,7.28369758926044,8.34270374206516,16.51633169772564,2.088768286943424,0.0821565483,0.223953858,0.0819055230794817,-0.1378939875794817,-0.0559884645,1.683573737093021
354,"(3,-1)",N-V,N,V,9.910826882806155,0.027620748070214345,30.78230706457711,5.2445837277543195,0.01461627042732,16.28929539811593,2.0847465401404324,0.0820821485,0.241969,0.08484078221816213,-0.14533303221816213,-0.06049225,1.7130091026795158
355,"(3,-1)",N-V,N,V,15.743673223682668,17.798933686561256,30.86021212222855,8.33119308614428,9.418790085604519,16.33052097924048,2.0865457426575604,0.0820661375,0.231291992,0.08304681072373102,-0.140869808723731,-0.05782299799999999,1.6962699409656774
357,"(3,-1)",S-V,S,V,16.365515656904886,11.769854249858895,33.5587080221144,8.66025793058852,6.228338644875239,17.75850351322113,2.316049899033564,0.081885404,0.189263658,0.07587887855893033,-0.12319479305893033,-0.0473159145,1.6235716104219005
358,"(3,-1)",V-N,V,N,13.748748139666088,4.016316293216536,31.199452131468043,7.275524194190039,2.12534305421688,16.51003906116231,2.088821204664516,0.0818554368,0.277686267,0.09058894162602286,-0.16001050837602288,-0.06942156675000001,1.7663359953645572
359,"(3,-1)",N-V,N,V,15.811395632135623,9.923070573028749,31.26087982149632,8.3670302413662,5.25106280959768,16.54254519484473,2.0923666919776798,0.0818468803,0.249187298,0.08583139441778792,-0.14812821891778793,-0.062296824500000014,1.7258046420260587
361,"(3,-1)",V-N,V,N,0.00193281551120051,9.923339282681518,31.015236561066853,0.0010228019214399999,5.251205004622279,16.41255637940937,2.082629831296752,0.0815168415,0.271727704,0.08929080288882933,-0.15722272888882932,-0.06793192599999999,1.760794211746287
362,"(3,-1)",V-N,V,N,11.88065922022589,9.828386998084977,31.29656481968114,6.286974110050119,5.200958419489,16.56142888265586,2.099193077998548,0.0814911135,0.193355993,0.0762057068345487,-0.1245447050845487,-0.04833899825,1.6343225495558946
363,"(3,-1)",N-V,N,V,7.940461861052737,17.7556231357524,30.84720354349416,4.20191146104852,9.39587112912408,16.32363713582778,2.088821204664516,0.0812690497,0.352437105,0.10251966535089688,-0.19062894160089688,-0.08810927625000001,1.8594378058924204
364,"(3,-1)",V-N,V,N,19.72457216417259,6.000393319964777,31.29496716172822,10.43779408442712,3.17527140148196,16.56058343847633,2.095330084358832,0.0810342367,0.288796718,0.09170231189926521,-0.16390149139926521,-0.0721991795,1.7873212572798671
396,"(3,-1)",S-V,S,V,19.73305439275359,8.47342650507116,33.52323445676212,10.44228268649,4.48394420488916,17.73973171084662,2.3235112977075363,0.0804561593,0.230420222,0.08145610571237136,-0.13906116121237136,-0.0576050555,1.7071913762168853
409,"(3,-1)",N-V,N,V,5.958452833262156,7.925479936606413,31.269019985549075,3.1530774517040396,4.1939833680558,16.5468527841546,2.100992280515676,0.080381515,0.298093432,0.09266842336378195,-0.16719178136378193,-0.07452335799999998,1.8041936540502999
431,"(3,-1)",N-V,N,V,7.914163590621616,21.641025743379643,30.880598515647673,4.18799501564976,11.45193764432956,16.341308994050728,2.0978701349712483,0.0799625501,0.254005542,0.08494766954223193,-0.14844905504223194,-0.06350138550000001,1.7475353454920872
442,"(3,-1)",N-V,N,V,11.887091916239466,13.81150308914599,31.26183126924274,6.2903781461852795,7.308732683327239,16.543048679309518,2.104061508339012,0.0796819555,0.0940260575,0.05803549097260334,-0.08154200534760334,-0.023506514374999996,1.4050368831392614
447,"(3,-1)",N-V,N,V,17.733937911650987,11.836159007738472,31.160753470937735,9.38439580271592,6.263425611720679,16.48956061191654,2.104908191876484,0.0794490856,0.157018775,0.06832812852330744,-0.10758282227330744,-0.03925469375,1.5745026916200378
448,"(3,-1)",N-V,N,V,15.757210508216037,21.676865692344315,30.880599508290082,8.338356708617079,11.4709033285622,16.34130951933447,2.1061252994616,0.0794053024,0.156827827,0.06825758959479652,-0.10746454634479652,-0.039206956749999994,1.5743970301727275
449,"(3,-1)",N-V,N,V,15.71243140588636,5.954234920333745,31.284450611754817,8.314660628138759,3.1508454283046796,16.555018319892902,2.1021564703797,0.0792003632,0.309853344,0.09358081898757797,-0.17104415498757797,-0.077463336,1.8277693745155466
450,"(3,-1)",N-V,N,V,17.688581142755,19.759731224184517,30.841769818962142,9.360394034255199,10.4563994577428,16.32076173263502,2.0994576666040086,0.0791795642,0.277983792,0.0882508726004175,-0.1577468206004175,-0.069495948,1.7874817092706143
452,"(3,-1)",N-V,N,V,21.724276965528173,11.831452919211811,30.934972985058078,11.495992293871799,6.260935256919799,16.370082724118582,2.101256869121136,0.0789587688,0.162339266,0.06878213895554519,-0.1093669554555452,-0.04058481650000001,1.590048770164454
454,"(3,-1)",N-V,N,V,23.67398709305582,13.781681762906176,31.047741132981933,12.527734461259358,7.292951917081719,16.42975705811754,2.0977113818079722,0.0788058726,0.194482477,0.07400476493819433,-0.12262538418819433,-0.04862061925,1.6569930907909227
455,"(3,-1)",V-N,V,N,7.9652707460868735,13.766864615480406,31.183674080420108,4.215039757636919,7.28511102033316,16.50168967611501,2.106019464019416,0.0786242656,0.22483539,0.07890396333727767,-0.13511281083727766,-0.05620884749999999,1.7123703946243278
456,"(3,-1)",N-V,N,V,9.895445326735272,11.83268519563707,31.295640173279686,5.23644415881312,6.2615873495216,16.56093958085205,2.109882457659132,0.0785586528,0.291481931,0.08995411128495036,-0.16282459403495037,-0.07287048275,1.8100850723672426
457,"(3,-1)",N-V,N,V,17.81193615602361,7.92048596179097,31.23347197201632,9.42567069612968,4.191340670391559,16.52804158549959,2.10956495133258,0.0785200808,0.238501436,0.08109017703752057,-0.14071553603752057,-0.059625359,1.7352969395098403
460,"(3,-1)",N-V,N,V,13.903793372565667,11.822732048049321,31.285354412665736,7.3575705981022805,6.256320370641239,16.55549659073817,2.113110438645744,0.0783198729,0.27759245,0.08742981672104036,-0.15682792922104036,-0.0693981125,1.7937579546966962
464,"(3,-1)",N-V,N,V,4.01849911524168,9.828628244900989,31.26138855072954,2.12649815388808,5.20108608180624,16.54281440276148,2.1114170715708003,0.0776536854,0.21032948,0.07563740498633323,-0.12821977498633325,-0.05258237000000002,1.6951900320945836
465,"(3,-1)",V-N,V,N,21.698017048369078,0.04456010988138491,30.916098386023723,11.48209614415056,0.02358019466532,16.360094716444348,2.108718267795108,0.0772848344,0.101466745,0.05717285019783047,-0.08253953644783046,-0.025366686249999992,1.4436841291316727
466,"(3,-1)",V-N,V,N,9.94918465305471,15.74950434152207,31.147378110834218,5.26488178563156,8.33427878081908,16.48248267616191,2.1107820589176964,0.0771940688,0.27510641,0.08603401761271677,-0.1548106201127168,-0.06877660250000002,1.799411725831505
467,"(3,-1)",V-N,V,N,19.6958993053562,17.721619172124495,30.946419144644974,10.42262106096956,9.37787700649124,16.37613977092452,2.11326919180902,0.0768612445,0.206234027,0.07426695252164218,-0.12582545927164218,-0.05155850675,1.6942321584418762
469,"(3,-1)",N-V,N,V,0.013027091315998046,21.639734990051977,30.764188859056357,0.006893639848999999,11.451254607083639,16.27970765665158,2.116232584190172,0.0765702028,0.247829101,0.08094800880504095,-0.14290528405504094,-0.061957275249999985,1.765395914792924
471,"(3,-1)",V-N,V,N,5.945872723289268,3.9728340996779368,31.030696966544774,3.14642034419552,2.10233326831544,16.42073767365987,2.1127400145981,0.076444068,0.176138785,0.06889084168053929,-0.11292553793053928,-0.04403469624999999,1.639195213410191
473,"(3,-1)",N-V,N,V,7.913391316712071,5.919445661623693,31.09272619787126,4.18758634589624,3.13243574541052,16.45356212928873,2.115332982931608,0.0762119348,0.333002108,0.09483484525180878,-0.1780853722518088,-0.083250527,1.8778474492044597
474,"(3,-1)",N-V,N,V,19.727190366859798,9.832149643469533,31.142173686698058,10.43917957762276,5.20294952567928,16.479728613513092,2.12041308415644,0.0756720692,0.177395232,0.06843707105585042,-0.11278587905585043,-0.044348808,1.648023173928756
477,"(3,-1)",V-N,V,N,7.90189717253412,2.0245276545566933,31.03889569649951,4.18150390673824,1.0713338976687201,16.4250762547104,2.117925951265116,0.0754006224,0.236520775,0.0780592117334521,-0.1371894054834521,-0.059130193750000004,1.7575043667096102
478,"(3,-1)",V-N,V,N,21.67597125616091,7.920136994365259,31.23030445009786,11.47043001331732,4.19115600478252,16.52636540508525,2.12940909674208,0.0751163656,0.180036293,0.0684026574103096,-0.1134117306603096,-0.045009073250000003,1.6580018226487245
