atom_index,element,region,q_combi,q_ref,delta_q
6,V,surface_metal,11.4733,11.4543,0.0190
7,V,surface_metal,11.4649,11.4543,0.0105
14,V,surface_metal,11.5030,11.4543,0.0488
15,V,surface_metal,11.4478,11.4541,-0.0063
22,V,surface_metal,11.4940,11.4543,0.0397
23,V,surface_metal,11.4353,11.4543,-0.0190
30,V,surface_metal,11.4706,11.4541,0.0165
31,V,surface_metal,11.4988,11.4543,0.0446
38,V,surface_metal,11.5138,11.4543,0.0594
39,V,surface_metal,11.4691,11.4543,0.0147
46,V,surface_metal,11.4496,11.4543,-0.0047
47,V,surface_metal,11.4203,11.4543,-0.0339
54,V,surface_metal,11.4538,11.4543,-0.0005
55,V,surface_metal,11.4690,11.4543,0.0147
62,V,surface_metal,11.3992,11.4543,-0.0550
63,V,surface_metal,11.4882,11.4543,0.0339
70,V,surface_metal,11.4546,11.4543,0.0003
71,V,surface_metal,11.4666,11.4543,0.0123
79,N,surface_N,6.4737,6.4948,-0.0211
80,N,surface_N,6.5210,6.4943,0.0267
87,N,surface_N,6.5087,6.4945,0.0142
88,N,surface_N,6.4839,6.4946,-0.0107
95,N,surface_N,6.4833,6.4945,-0.0112
96,N,surface_N,6.4974,6.4943,0.0031
103,N,surface_N,6.5105,6.4945,0.0160
104,N,surface_N,6.4842,6.4946,-0.0104
111,N,surface_N,6.5695,6.4944,0.0751
112,N,surface_N,6.4482,6.4947,-0.0465
119,N,surface_N,6.4573,6.4944,-0.0371
120,N,surface_N,6.4810,6.4946,-0.0136
127,N,surface_N,6.5172,6.4945,0.0228
128,N,surface_N,6.4801,6.4943,-0.0142
135,N,surface_N,6.4412,6.4944,-0.0532
136,N,surface_N,6.4765,6.4946,-0.0181
143,N,surface_N,6.5188,6.4944,0.0244
144,N,surface_N,6.4934,6.4943,-0.0010
145,S,adsorbate_S,6.5617,6.6190,-0.0573
146,S,adsorbate_S,6.6741,6.7392,-0.0651
147,S,adsorbate_S,6.0625,6.0267,0.0358
148,S,adsorbate_S,5.9960,6.0131,-0.0170
149,S,adsorbate_S,6.0547,6.0514,0.0033
150,S,adsorbate_S,6.2205,6.1490,0.0715
151,S,adsorbate_S,6.0307,6.0095,0.0212
152,S,adsorbate_S,6.1964,6.1552,0.0412
153,Li,adsorbate_Li,2.1408,2.1199,0.0209
154,Li,adsorbate_Li,2.1216,2.1173,0.0043
