metal,adsorbate,atom1,atom2,bond_type,rho,laplacian,abs_V_over_G,bond_group
ZrN,Li2S8,S,N,S-N,0.03905381244,0.09954901244,1.843665217297781,N–S
ZrN,Li2S8,S,Zr,S-Zr,0.03635026263,0.06201795066,1.7115675560692594,M–S
ZrN,Li2S8,S,Zr,S-Zr,0.03266925795,0.05046665252,1.7010412452780022,M–S
ZrN,Li2S8,S,N,S-N,0.03193382675,0.07416507856,1.8587967533608696,N–S
ZrN,Li2S8,S,Zr,S-Zr,0.0352388117,0.0798315072,1.825372309837547,M–S
ZrN,S8,S,Zr,S-Zr,0.05920974973,0.1219629764,1.6606424432186195,M–S
ZrN,S8,S,Zr,S-Zr,0.05800299717,0.1276259705,1.690232584242997,M–S
ZrN,S8,S,Zr,S-Zr,0.05381757205,0.07504218928,1.5432586898647975,M–S
ZrN,S8,S,Zr,S-Zr,0.0479358986,0.08600649112,1.6616559502471546,M–S
ZrN,S8,S,Zr,S-Zr,0.0433155412,0.06419131462,1.6163246995931948,M–S
ZrN,S8,S,Zr,S-Zr,0.04243176164,0.1060149067,1.815738332204374,M–S
ZrN,S8,S,Zr,S-Zr,0.04138609944,0.06915929702,1.671602254279623,M–S
ZrN,S8,S,Zr,S-Zr,0.0403216294,0.07961191306,1.740382714538326,M–S
ZrN,S8,S,N,S-N,0.03128479129,0.07013793715,1.850852632527161,N–S
ZrN,S8,S,N,S-N,0.0310988444,0.06672654576,1.836113773400065,N–S
ZrN,S8,S,Zr,S-Zr,0.02352459535,0.04745912158,1.8817903714376287,M–S
ZrN,S8,S,Zr,S-Zr,0.0397220529,0.10675374,1.8589791371493136,M–S
VN_U,Li2S4,Li,N,Li-N,0.0311594124,0.224249792,2.212581798980576,N–Li
VN_U,Li2S4,Li,N,Li-N,0.0306161452,0.236280101,2.231059648331156,N–Li
VN_U,Li2S4,S,V,S-V,0.0558758775,0.152192463,1.7794573918397103,M–S
VN_U,Li2S8,S,V,S-V,0.0680861103,0.0951708673,1.4909972033996994,M–S
VN_U,Li2S8,S,V,S-V,0.0638797658,0.180392351,1.7595489560546331,M–S
VN_U,Li2S8,S,V,S-V,0.0600159021,0.174636628,1.7863565874492622,M–S
VN_U,Li2S8,S,V,S-V,0.0532164116,0.117447786,1.7127997811451654,M–S
VN_U,S8,S,V,S-V,0.0834486671,0.160025699,1.552380396239648,M–S
VN_U,S8,S,V,S-V,0.081885404,0.189263658,1.6235716104219005,M–S
VN_U,S8,S,V,S-V,0.0804561593,0.230420222,1.707191376216885,M–S
VN_U,S8,S,V,S-V,0.0643378579,0.19874423,1.7913731394027903,M–S
VN_U,S8,S,V,S-V,0.0614842632,0.181708164,1.786135233193263,M–S
VN_U,S8,S,V,S-V,0.0586576688,0.147346709,1.736973804573496,M–S
VN_U,S8,S,V,S-V,0.0510137232,0.0992803769,1.676409647969369,M–S
